team_name,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel
ADO Den Haag,25.541666666666668,1.25,0.46666666666666673,0.9458333333333333,0.19166666666666662,1.7875000000000008,73.50833333333334,0.6416666666666666,0.5625000000000001,0.7625000000000001,0.8875000000000001,15.583333333333334,1.875,3.6666666666666665,1.1500000000000001,0.46666666666666673,0.3458333333333332,1401.4166666666667,0.8333333333333334,0.12500000000000003,0.10000000000000002,0.125,112789.125,73.50833333333334,23.5,6.712916666666666,0.08333333333333333,0.7250000000000001,1.1541666666666666,174.08333333333334,2.4375000000000004,0.7875,71.04166666666667,2.6666666666666665
AZ Alkmaar,23.535714285714285,1.7142857142857142,0.7928571428571429,0.8785714285714289,0.2107142857142857,1.8178571428571426,75.51071428571427,0.5285714285714286,0.5392857142857143,0.6964285714285714,0.8142857142857143,13.357142857142858,2.4642857142857144,3.5,1.1214285714285717,0.7928571428571429,0.30714285714285705,1199.392857142857,0.7142857142857143,0.13571428571428573,0.17857142857142858,0.07142857142857142,143375.2142857143,75.51071428571427,26.050000000000004,6.8203571428571435,0.10714285714285714,1.010714285714286,1.2964285714285713,179.96428571428572,2.3285714285714287,0.8107142857142856,66.82142857142857,1.6071428571428572
Ajax,23.36,2.4,0.7120000000000001,0.9960000000000002,0.16,1.1560000000000001,76.84,0.7120000000000001,0.30799999999999994,0.7400000000000001,0.7440000000000001,14.96,3.16,3.8,0.9519999999999998,0.7120000000000001,0.312,1344.6,1.12,0.11599999999999999,0.10400000000000001,0.0,132126.56,76.84,29.14,6.9876,0.08,0.8959999999999999,1.0320000000000003,182.24,2.0959999999999996,0.852,76.12,1.52
Cambuur,24.90625,0.78125,0.615625,1.0156249999999996,0.134375,1.45625,75.27187500000001,0.6375,0.4781250000000001,0.8218749999999999,0.8812500000000001,11.71875,0.96875,3.0,1.3625,0.615625,0.2874999999999999,1049.59375,0.375,0.08750000000000001,0.19062499999999996,0.09375,137059.9375,75.27187500000001,30.662499999999994,6.444687500000001,0.15625,0.7718750000000001,0.9249999999999999,169.5,2.584375,0.6875000000000001,69.25,1.71875
De Graafschap,23.0,0.8,0.584,0.88,0.23199999999999998,2.091999999999999,71.008,0.6040000000000001,0.7200000000000002,0.624,1.008,14.96,1.48,3.96,0.9799999999999999,0.584,0.30399999999999994,1342.88,0.2,0.136,0.244,0.12,154206.96,71.008,21.84,6.4856,0.16,0.848,1.3280000000000003,182.36,2.0120000000000005,0.9320000000000002,76.4,2.36
Excelsior,25.4,0.92,0.4799999999999999,0.968,0.292,2.0999999999999996,71.04400000000001,0.676,0.47200000000000003,0.672,0.7559999999999999,14.96,1.32,3.52,1.1480000000000001,0.4799999999999999,0.2,1345.8,0.56,0.09200000000000001,0.08800000000000001,0.0,120668.56,71.04400000000001,20.768,6.5776,0.16,0.628,0.9640000000000001,181.36,2.4399999999999995,0.7480000000000001,72.2,1.92
FC Groningen,24.166666666666668,1.25,0.5541666666666668,0.9583333333333334,0.28333333333333327,2.1916666666666664,77.375,0.7125,0.5541666666666667,0.6958333333333333,0.9583333333333334,16.5,1.75,4.291666666666667,1.2541666666666667,0.5541666666666668,0.2750000000000001,1496.875,0.6666666666666666,0.15416666666666667,0.11666666666666665,0.041666666666666664,137840.625,77.375,31.287499999999994,6.686666666666667,0.08333333333333333,0.7666666666666665,1.308333333333333,166.25,2.0625000000000004,0.7999999999999999,67.91666666666667,2.4166666666666665
FC Utrecht,23.333333333333332,1.7037037037037037,0.6370370370370368,1.0703703703703704,0.22592592592592595,1.151851851851852,78.3074074074074,0.7777777777777778,0.3518518518518518,0.7185185185185188,0.785185185185185,15.481481481481481,2.2962962962962963,3.5555555555555554,1.285185185185185,0.6370370370370368,0.3925925925925926,1388.851851851852,0.7407407407407407,0.0888888888888889,0.24814814814814815,0.037037037037037035,143902.59259259258,78.3074074074074,26.4925925925926,6.708148148148148,0.18518518518518517,0.7703703703703703,1.0592592592592593,173.66666666666666,2.411111111111111,0.8037037037037036,71.37037037037037,1.8518518518518519
Feyenoord,24.708333333333332,1.875,0.7625000000000001,1.1041666666666665,0.1375,1.2083333333333335,73.74999999999999,0.6625,0.5624999999999999,0.9291666666666667,0.8000000000000002,15.583333333333334,2.5,3.375,1.0416666666666667,0.7625000000000001,0.44583333333333325,1399.5416666666667,0.8333333333333334,0.24583333333333335,0.12916666666666668,0.08333333333333333,112817.91666666667,73.74999999999999,29.7625,6.770416666666667,0.08333333333333333,1.0250000000000001,1.1458333333333333,174.20833333333334,2.3833333333333337,0.9041666666666668,71.75,2.2916666666666665
Heracles,24.90909090909091,1.8181818181818181,0.6772727272727272,0.9181818181818179,0.2863636363636364,1.8863636363636367,76.34545454545453,0.7272727272727272,0.4454545454545455,1.0000000000000002,0.9227272727272727,19.0,2.5454545454545454,4.454545454545454,1.268181818181818,0.6772727272727272,0.3272727272727272,1725.3181818181818,0.9090909090909091,0.15454545454545457,0.07272727272727274,0.045454545454545456,113077.59090909091,76.34545454545453,25.85,6.785454545454545,0.045454545454545456,0.9000000000000002,1.2818181818181817,172.36363636363637,2.4545454545454546,0.9272727272727274,70.72727272727273,2.9545454545454546
