team_name,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel
Athletic Bilbao,27.6,1.68,0.5199999999999999,1.276,0.136,1.1,73.504,0.904,0.5680000000000001,0.7839999999999999,0.7959999999999998,16.72,2.28,4.56,1.272,0.5199999999999999,0.35199999999999987,1497.12,0.88,0.15200000000000002,0.23200000000000004,0.08,89859.28,73.504,27.043999999999997,6.6888,0.24,0.768,1.296,181.88,2.3760000000000003,0.6759999999999999,76.28,3.32
Atletico Madrid,26.08,2.04,0.6079999999999999,1.0440000000000003,0.176,1.4680000000000004,76.81600000000002,0.68,0.6400000000000001,0.9079999999999999,0.9120000000000001,16.72,2.48,4.28,1.3920000000000001,0.6079999999999999,0.2439999999999999,1501.28,1.16,0.11600000000000002,0.032,0.0,81685.52,76.81600000000002,30.171999999999993,6.9479999999999995,0.12,0.748,1.6520000000000004,181.32,1.672,0.8400000000000002,71.92,3.52
Barcelona,26.92,3.16,0.6479999999999998,0.68,0.156,0.8720000000000002,84.536,0.596,0.42399999999999993,0.852,0.6080000000000001,16.72,4.36,3.6,0.9920000000000002,0.6479999999999998,0.17600000000000002,1505.04,1.4,0.15600000000000003,0.17199999999999996,0.08,60933.24,84.536,39.184,6.976400000000001,0.04,0.8240000000000002,1.1159999999999999,179.0,2.312,0.592,74.48,2.64
Celta Vigo,24.59259259259259,1.5925925925925926,0.41111111111111115,0.9407407407407408,0.24444444444444444,1.466666666666667,78.33333333333336,0.6814814814814815,0.5888888888888889,0.8370370370370371,0.8555555555555556,15.518518518518519,1.8888888888888888,3.962962962962963,1.3518518518518519,0.41111111111111115,0.12592592592592594,1386.2222222222222,0.8888888888888888,0.1444444444444445,0.055555555555555566,0.07407407407407407,123828.07407407407,78.33333333333336,29.296296296296298,6.608148148148148,0.25925925925925924,0.6259259259259259,1.2814814814814812,179.03703703703704,1.8444444444444443,0.6296296296296298,72.48148148148148,4.037037037037037
Deportivo La Coruna,29.0,1.28,0.4880000000000001,0.904,0.12400000000000003,1.296,72.716,0.552,0.6079999999999999,0.624,0.7000000000000002,16.76,1.64,4.04,1.224,0.4880000000000001,0.156,1502.44,0.68,0.14800000000000002,0.16799999999999998,0.04,77396.44,72.716,26.104,6.547599999999999,0.16,0.7560000000000001,1.2280000000000002,173.72,2.64,0.74,71.32,3.2
Eibar,26.0,1.1428571428571428,0.42857142857142866,1.0392857142857141,0.08571428571428572,1.2535714285714288,65.43928571428572,0.5928571428571427,0.4964285714285714,0.6142857142857144,0.95,14.928571428571429,1.7142857142857142,3.9642857142857144,1.242857142857143,0.42857142857142866,0.2678571428571429,1343.5714285714287,0.5357142857142857,0.11071428571428572,0.18214285714285713,0.03571428571428571,110121.92857142857,65.43928571428572,21.053571428571427,6.516071428571429,0.14285714285714285,0.5607142857142857,1.1178571428571429,180.46428571428572,1.9642857142857142,0.6857142857142857,74.07142857142857,3.6785714285714284
Espanyol,25.884615384615383,1.1538461538461537,0.4769230769230769,1.169230769230769,0.15,1.830769230769231,74.25769230769232,0.6576923076923076,0.6615384615384616,0.8230769230769229,1.1153846153846156,16.076923076923077,1.4615384615384615,4.076923076923077,1.4230769230769231,0.4769230769230769,0.22307692307692303,1445.3846153846155,0.5384615384615384,0.15000000000000002,0.25769230769230766,0.07692307692307693,108545.76923076923,74.25769230769232,27.12692307692308,6.508076923076923,0.19230769230769232,0.6500000000000001,1.553846153846154,180.69230769230768,2.1115384615384616,0.8115384615384614,75.76923076923077,4.6923076923076925
Getafe,25.88888888888889,1.1481481481481481,0.5333333333333333,0.8851851851851852,0.19999999999999996,1.4074074074074074,75.14074074074072,0.8481481481481483,0.6962962962962963,0.7444444444444442,1.0629629629629627,15.518518518518519,1.3333333333333333,4.222222222222222,1.3518518518518519,0.5333333333333333,0.2703703703703703,1389.5925925925926,0.2962962962962963,0.11481481481481481,0.1925925925925926,0.037037037037037035,112778.14814814815,75.14074074074072,25.007407407407406,6.555925925925927,0.2222222222222222,0.7703703703703704,1.451851851851852,181.1851851851852,1.7481481481481478,0.8407407407407407,73.44444444444444,4.592592592592593
Granada,26.275862068965516,0.9310344827586207,0.48275862068965525,0.8586206896551722,0.1413793103448276,1.4655172413793103,70.76896551724138,0.686206896551724,0.4965517241379311,0.7793103448275861,1.0103448275862068,14.448275862068966,1.5517241379310345,3.8620689655172415,1.2379310344827585,0.48275862068965525,0.19999999999999998,1293.5862068965516,0.4827586206896552,0.12758620689655173,0.14137931034482756,0.06896551724137931,97160.86206896552,70.76896551724138,22.19655172413793,6.507931034482758,0.2413793103448276,0.6620689655172414,1.2034482758620686,182.86206896551724,2.206896551724138,0.8379310344827587,77.86206896551724,4.620689655172414
Las Palmas,28.40740740740741,1.2222222222222223,0.5074074074074074,1.037037037037037,0.20740740740740743,1.6592592592592594,80.06666666666668,0.7555555555555555,0.5222222222222223,1.0074074074074073,0.8370370370370371,15.481481481481481,1.5555555555555556,4.111111111111111,1.4555555555555557,0.5074074074074074,0.19999999999999996,1387.962962962963,0.6296296296296297,0.11481481481481481,0.20370370370370364,0.037037037037037035,83097.85185185185,80.06666666666668,33.91481481481482,6.715555555555556,0.14814814814814814,0.6296296296296298,1.274074074074074,173.11111111111111,2.22962962962963,0.8037037037037034,70.25925925925925,3.5185185185185186
Levante,27.962962962962962,0.8518518518518519,0.4888888888888889,1.1407407407407408,0.2,1.7629629629629628,70.72222222222223,0.7444444444444445,0.6962962962962963,0.8592592592592595,1.0925925925925928,15.518518518518519,1.3333333333333333,4.222222222222222,1.3074074074074074,0.4888888888888889,0.2740740740740741,1389.6296296296296,0.37037037037037035,0.11481481481481483,0.27407407407407414,0.1111111111111111,82941.5925925926,70.72222222222223,26.12222222222222,6.531481481481483,0.25925925925925924,0.6925925925925929,1.2111111111111115,180.25925925925927,2.2111111111111117,0.8666666666666666,75.07407407407408,4.62962962962963
Malaga,27.333333333333332,0.9666666666666667,0.59,0.9833333333333332,0.1366666666666667,1.2433333333333334,73.00666666666667,0.89,0.48333333333333345,0.7799999999999999,0.9866666666666669,13.966666666666667,1.2333333333333334,3.7333333333333334,1.2100000000000002,0.59,0.3766666666666667,1252.1666666666667,0.6333333333333333,0.14333333333333337,0.20333333333333328,0.1,86268.4,73.00666666666667,24.773333333333326,6.674666666666667,0.16666666666666666,0.8400000000000001,1.3033333333333332,179.43333333333334,1.7466666666666664,0.8366666666666666,72.76666666666667,3.466666666666667
Rayo Vallecano,28.862068965517242,1.2413793103448276,0.5551724137931034,1.0275862068965518,0.17586206896551723,1.2586206896551726,75.60000000000001,0.6724137931034484,0.45517241379310347,0.696551724137931,0.9413793103448277,14.448275862068966,1.793103448275862,3.8275862068965516,1.213793103448276,0.5551724137931034,0.2896551724137931,1284.6896551724137,0.5172413793103449,0.17931034482758623,0.2517241379310345,0.06896551724137931,72314.86206896552,75.60000000000001,26.989655172413794,6.538275862068965,0.3448275862068966,0.7241379310344828,1.1379310344827587,173.86206896551724,2.158620689655172,0.7551724137931035,71.82758620689656,3.7241379310344827
