team_name,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel
Angers,27.413793103448278,0.7931034482758621,0.4517241379310346,0.9724137931034487,0.14482758620689656,1.0517241379310347,70.09655172413792,0.7137931034482758,0.5724137931034483,0.7482758620689656,0.8344827586206895,14.413793103448276,1.3793103448275863,3.689655172413793,0.9310344827586206,0.4517241379310346,0.23448275862068962,1285.5172413793102,0.5172413793103449,0.08275862068965517,0.07931034482758621,0.034482758620689655,137357.75862068965,70.09655172413792,23.020689655172415,6.58551724137931,0.20689655172413793,0.6103448275862069,1.2,176.0344827586207,1.8448275862068968,0.8931034482758623,73.37931034482759,2.413793103448276
Bordeaux,24.228571428571428,0.9428571428571428,0.4828571428571428,1.1542857142857141,0.10571428571428572,1.3714285714285717,76.22857142857144,0.7857142857142857,0.5857142857142857,0.7171428571428571,0.8857142857142856,11.971428571428572,1.3714285714285714,3.257142857142857,1.274285714285714,0.4828571428571428,0.28285714285714275,1072.2571428571428,0.6285714285714286,0.16571428571428573,0.10857142857142857,0.08571428571428572,135235.85714285713,76.22857142857144,27.337142857142858,6.692857142857142,0.2,0.6714285714285714,1.3942857142857144,181.8,2.1057142857142863,0.8942857142857144,76.2,2.342857142857143
Caen,26.833333333333332,1.0416666666666667,0.55,1.366666666666667,0.17499999999999996,1.2791666666666668,71.3625,0.7208333333333333,0.7166666666666668,0.7833333333333333,1.0041666666666669,17.416666666666668,1.5833333333333333,4.333333333333333,1.3625,0.55,0.28333333333333327,1561.25,0.9166666666666666,0.13750000000000004,0.08333333333333333,0.08333333333333333,95523.04166666667,71.3625,22.208333333333332,6.696666666666666,0.25,0.7333333333333334,1.6166666666666665,179.83333333333334,1.779166666666667,0.9,73.375,2.1666666666666665
GFC Ajaccio,28.130434782608695,1.173913043478261,0.5391304347826087,1.2043478260869565,0.12608695652173915,1.2217391304347824,71.38695652173914,0.782608695652174,0.6782608695652173,0.6739130434782609,0.9739130434782611,18.17391304347826,1.565217391304348,4.739130434782608,1.3608695652173912,0.5391304347826087,0.3130434782608696,1629.6521739130435,0.6956521739130435,0.12173913043478261,0.19130434782608696,0.17391304347826086,123895.39130434782,71.38695652173914,26.64782608695652,6.648695652173912,0.2608695652173913,0.7434782608695653,1.2608695652173914,175.04347826086956,2.7478260869565214,0.9608695652173915,72.47826086956522,3.9130434782608696
Guingamp,27.5,1.3571428571428572,0.49642857142857144,1.167857142857143,0.19999999999999996,1.492857142857143,71.44999999999997,0.6678571428571427,0.5107142857142856,0.9571428571428573,0.8357142857142857,14.928571428571429,1.6428571428571428,3.75,1.3428571428571432,0.49642857142857144,0.33571428571428574,1335.75,0.6428571428571429,0.12142857142857144,0.16071428571428567,0.14285714285714285,85057.39285714286,71.44999999999997,23.182142857142857,6.6899999999999995,0.21428571428571427,0.6178571428571428,1.4285714285714286,180.39285714285714,2.2464285714285714,0.710714285714286,73.78571428571429,2.75
Lille,25.3125,0.75,0.5218750000000001,1.1718749999999998,0.128125,0.9468749999999999,76.12812500000001,1.0562500000000001,0.44062499999999993,0.8375,1.021875,13.0625,1.1875,3.34375,1.0625,0.5218750000000001,0.2375,1173.0625,0.75,0.140625,0.07500000000000001,0.0,105486.09375,76.12812500000001,24.893750000000008,6.722812499999998,0.1875,0.8593750000000001,1.09375,179.3125,1.2562499999999999,1.0156250000000002,74.0625,2.53125
Lorient,25.15625,0.9375,0.51875,0.9937500000000001,0.28437499999999993,1.5187499999999998,77.10312499999999,0.753125,0.6781250000000001,0.765625,0.7875,13.0,1.4375,3.53125,1.6468749999999992,0.51875,0.190625,1165.21875,0.46875,0.09062500000000001,0.19999999999999998,0.0,120563.1875,77.10312499999999,28.33750000000001,6.742499999999999,0.21875,0.7031250000000001,1.0562500000000001,168.25,2.03125,0.9593749999999999,66.9375,2.0
Lyon,25.266666666666666,1.4666666666666666,0.6000000000000001,1.09,0.10000000000000003,1.216666666666667,82.02333333333334,0.8666666666666668,0.7166666666666668,0.8133333333333336,0.91,13.933333333333334,2.2,3.7666666666666666,0.9799999999999998,0.6000000000000001,0.21000000000000002,1251.0333333333333,0.6666666666666666,0.11666666666666667,0.25666666666666665,0.1,101600.3,82.02333333333334,35.626666666666665,6.813333333333336,0.1,0.8766666666666666,1.3633333333333333,172.23333333333332,2.3333333333333335,0.9033333333333332,70.56666666666666,2.2333333333333334
Marseille,25.107142857142858,1.25,0.5964285714285715,1.0142857142857142,0.1285714285714286,0.9750000000000003,77.61428571428569,0.8678571428571428,0.6678571428571429,0.8464285714285715,0.942857142857143,14.928571428571429,1.7142857142857142,4.035714285714286,1.242857142857143,0.5964285714285715,0.3642857142857142,1336.892857142857,0.6785714285714286,0.13214285714285715,0.1285714285714286,0.10714285714285714,96136.75,77.61428571428569,31.375000000000004,6.739285714285713,0.32142857142857145,0.7750000000000001,1.2607142857142857,181.14285714285714,1.5607142857142855,0.9142857142857143,75.25,2.607142857142857
Monaco,24.129032258064516,1.096774193548387,0.5838709677419353,1.1548387096774195,0.14193548387096774,1.4064516129032256,77.67096774193547,0.9645161290322583,0.6,0.9000000000000001,0.9387096774193547,13.483870967741936,1.7419354838709677,3.5483870967741935,1.1935483870967745,0.5838709677419353,0.36129032258064525,1208.8064516129032,0.7419354838709677,0.15806451612903227,0.14193548387096774,0.03225806451612903,113920.83870967742,77.67096774193547,25.81612903225807,6.7629032258064505,0.12903225806451613,0.803225806451613,1.2161290322580647,170.29032258064515,1.4903225806451612,1.0774193548387097,69.83870967741936,2.6774193548387095
