,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,flag,fouled,fouls,full_time,goals,half_time,inter,keyp,league,longb,mins,motm,name,off,offsides,owng,player_number,position,ps_x,ps_y,rating,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel,labeled_league
1014,30.0,0.0,0.3,2.2,0.0,2.8,77.0,0.4,1.0,fr,0.9,1.7,9.0,0.0,0.0,4.0,0.3,Ligue1,0.8,783.0,0.0,Mathieu Debuchy,0.3,0.1,0.0,11367.0,D(R),77.0,32.9,7.33,0.0,0.7,4.0,177.0,Bordeaux,1.4,0.8,76.0,1.0,1
1037,20.0,0.0,0.6,0.6,0.2,1.3,70.4,0.8,0.4,rs,0.2,0.3,7.0,1.0,2.0,1.4,0.6,Ligue1,0.1,591.0,0.0,Milan Gajic,0.2,0.0,0.0,291951.0,D(R),70.4,22.1,6.45,0.0,0.2,0.8,183.0,Bordeaux,1.2,0.4,73.0,0.0,1
1067,23.0,0.0,0.6,0.2,0.0,0.4,80.9,1.2,0.6,br,0.4,1.4,3.0,0.0,2.0,0.6,0.6,SerieA,0.4,281.0,0.0,Gilberto,0.2,0.0,0.0,119542.0,D(R),80.9,26.2,6.6,0.0,0.8,1.4,179.0,Fiorentina,1.2,1.6,74.0,1.0,2
1097,23.0,0.0,0.3,0.6,0.4,1.9,81.8,0.7,0.7,,0.2,1.2,6.0,0.0,3.0,1.9,0.3,SerieA,0.6,583.0,0.0,Patric,0.0,0.0,0.0,140261.0,D(R),81.8,39.1,6.39,1.0,0.3,0.7,184.0,Lazio,2.2,0.4,72.0,2.0,2
1115,23.0,0.0,0.2,2.2,0.0,1.4,71.4,1.2,1.2,br,1.0,1.4,0.0,0.0,5.0,0.2,0.2,SerieA,0.8,178.0,0.0,Gilberto,0.0,0.0,0.0,119542.0,D(R),71.4,18.2,6.57,0.0,0.6,1.6,179.0,Verona,1.0,0.8,74.0,1.0,2
1166,29.0,1.0,0.7,0.6,0.3,2.9,78.1,0.4,0.5,it,0.6,1.4,27.0,1.0,0.0,2.8,0.7,SerieA,0.6,2254.0,3.0,Ignazio Abate,0.0,0.1,0.0,23206.0,D(R),78.1,47.1,7.19,0.0,0.1,2.8,180.0,AC Milan,3.5,0.3,73.0,7.0,2
1203,18.0,1.0,0.2,1.1,0.3,2.2,80.1,0.9,0.9,pt,0.7,0.9,7.0,0.0,2.0,1.3,0.2,SerieA,0.4,643.0,0.0,Pedro Pereira,0.0,0.1,0.0,294164.0,D(R),80.1,25.1,6.7,0.0,0.3,2.0,174.0,Sampdoria,1.7,0.7,70.0,0.0,2
1266,21.0,0.0,0.1,1.0,0.4,2.2,,0.9,1.6,it,1.0,1.3,13.0,0.0,8.0,3.1,0.1,SerieA,,1255.0,0.0,Alex Ferrari,0.0,0.2,0.0,130043.0,D(R),78.0,24.3,6.76,0.0,0.3,2.5,183.0,Bologna,,1.3,70.0,6.0,2
1354,34.0,2.0,0.7,0.9,0.1,1.5,84.6,0.5,0.7,br,0.8,0.7,12.0,1.0,3.0,0.7,0.7,SerieA,0.5,1012.0,1.0,Maicon,0.1,0.2,0.0,8007.0,D(R),84.6,45.5,6.83,1.0,0.7,1.2,184.0,Roma,1.8,0.5,77.0,2.0,2
1428,22.0,1.0,0.7,0.3,0.0,0.0,78.6,0.2,0.5,br,0.5,0.7,1.0,0.0,5.0,0.8,0.7,SerieA,0.3,157.0,0.0,Wallace Oliveira,0.0,0.0,0.0,101953.0,D(R),78.6,11.7,6.56,0.0,0.8,1.5,175.0,Carpi,1.3,1.3,72.0,1.0,2
