,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,league,longb,name,off,offsides,owng,position,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
2650,26.0,1.0,0.7,0.3,0.0,0.0,77.8,0.3,0.3,0.7,0.7,0.0,0.0,0.7,LaLiga,0.3,Aras Özbiliz,0.0,0.0,0.0,AM(R),77.8,0.0,0.3,0.7,175.0,Rayo Vallecano,0.0,1.0,72.0,1.0
2681,30.0,0.0,0.2,0.7,0.2,0.3,70.7,0.6,0.4,0.5,1.1,0.0,0.2,0.2,LaLiga,0.2,Jordi Xumetra,0.2,0.0,0.0,AM(R),70.7,0.0,0.6,0.2,172.0,Levante,0.2,0.4,70.0,5.0
2701,22.0,1.0,0.9,0.4,0.2,0.3,77.3,1.9,0.8,1.6,0.7,4.0,0.6,0.9,LaLiga,0.3,Juanpi,0.1,0.0,0.0,AM(R),77.3,0.0,1.1,0.8,171.0,Malaga,0.7,1.4,65.0,6.0
2716,19.0,3.0,1.1,0.6,0.0,0.2,73.4,1.1,0.6,2.2,1.1,8.0,0.5,1.1,Eredivisie,0.6,Milot Rashica,0.3,0.0,0.0,AM(R),73.4,0.0,2.0,1.2,177.0,Vitesse,0.5,2.8,73.0,3.0
2726,25.0,1.0,0.9,0.6,0.0,0.2,84.0,1.0,0.3,1.4,0.6,0.0,1.4,0.9,Eredivisie,0.7,Renato Ibarra,0.1,0.0,0.0,AM(R),84.0,0.0,1.5,0.8,174.0,Vitesse,0.9,1.4,69.0,2.0
2751,24.0,5.0,1.0,1.3,0.0,0.4,70.5,1.1,0.5,0.9,0.8,5.0,0.8,1.0,Eredivisie,0.4,Jaroslav Navratil,0.1,0.0,0.0,AM(R),70.5,0.0,1.3,1.0,180.0,Heracles,0.5,1.6,72.0,1.0
2846,22.0,5.0,0.8,0.6,0.2,0.8,74.3,1.4,0.7,1.5,0.8,5.0,0.8,0.8,Eredivisie,0.5,Luciano Slagveer,0.1,0.0,0.0,AM(R),74.3,0.0,1.7,1.1,181.0,SC Heerenveen,0.1,2.0,76.0,3.0
2847,21.0,0.0,0.9,0.4,0.0,0.2,79.0,2.5,1.0,1.1,0.4,4.0,0.2,0.9,Eredivisie,0.4,Arber Zeneli,0.4,0.0,0.0,AM(R),79.0,0.0,1.5,0.9,176.0,SC Heerenveen,0.8,3.4,71.0,0.0
2879,22.0,0.0,0.7,1.5,0.0,0.6,72.3,2.3,0.5,2.3,1.5,1.0,0.8,0.7,Eredivisie,0.2,Terell Ondaan,0.3,0.0,0.0,AM(R),72.3,0.0,1.2,0.5,175.0,Willem II,0.5,2.1,67.0,0.0
2995,24.0,2.0,0.6,0.1,0.1,0.5,71.4,0.9,0.7,0.7,0.3,0.0,1.0,0.6,Eredivisie,0.1,Stanley Elbers,0.0,0.0,0.0,AM(R),71.4,0.0,0.8,0.7,172.0,Excelsior,0.2,0.8,69.0,1.0
3094,21.0,2.0,0.4,0.9,0.3,1.6,70.5,0.7,0.4,1.5,1.1,4.0,0.6,0.4,Eredivisie,0.4,Kingsley Ehizibue,0.5,0.1,0.0,AM(R),70.5,0.0,0.9,1.7,189.0,PEC Zwolle,0.7,1.5,83.0,2.0
3118,25.0,5.0,1.7,0.3,0.0,0.2,83.3,1.2,0.2,1.0,0.5,8.0,0.2,1.7,Eredivisie,1.2,Luciano Narsingh,0.5,0.0,0.0,AM(R),83.3,0.0,1.6,0.6,178.0,PSV Eindhoven,0.2,2.0,69.0,1.0
3123,21.0,3.0,0.5,0.7,0.0,0.4,76.8,0.7,0.5,0.8,0.6,11.0,0.3,0.5,Eredivisie,0.1,Gastón Pereiro,0.2,0.0,0.0,AM(R),76.8,0.0,1.4,0.7,188.0,PSV Eindhoven,0.7,1.2,76.0,2.0
3136,22.0,5.0,1.4,0.8,0.0,0.1,69.8,1.3,0.7,1.2,1.3,3.0,0.8,1.4,Eredivisie,0.9,Alireza Jahanbakhsh,0.6,0.0,0.0,AM(R),69.8,0.0,2.3,2.0,180.0,AZ Alkmaar,1.2,1.0,78.0,5.0
3172,20.0,4.0,0.8,0.6,0.0,0.2,74.8,1.3,1.1,0.8,1.2,3.0,0.6,0.8,Eredivisie,0.9,Oussama Idrissi,0.2,0.0,0.0,AM(R),74.8,0.0,1.7,1.1,0.0,FC Groningen,0.6,1.2,0.0,2.0
258,22.0,2.0,0.8,4.3,0.2,0.7,63.2,0.9,0.8,1.2,1.1,5.0,1.2,0.8,Bundesliga,0.0,Michael Gregoritsch,0.0,0.1,0.0,AM(CR),63.2,0.0,2.0,0.7,193.0,Hamburger SV,0.4,1.6,87.0,6.0
727,21.0,1.0,1.3,0.4,0.1,0.5,82.8,2.3,1.4,2.4,0.9,7.0,0.9,1.3,Ligue1,1.0,Bernardo Silva,0.3,0.0,0.0,AM(CR),82.8,0.0,1.3,1.4,173.0,Monaco,1.0,1.7,64.0,7.0
736,20.0,0.0,0.0,0.0,0.0,0.0,76.7,0.5,0.0,2.5,0.0,0.0,1.0,0.0,Ligue1,0.0,Rony Lopes,0.0,0.0,0.0,AM(CR),76.7,0.0,1.5,1.0,174.0,Monaco,0.0,2.5,68.0,0.0
912,20.0,1.0,0.9,0.1,0.0,0.2,77.3,1.8,0.6,1.1,0.8,2.0,0.4,0.9,Ligue1,0.8,Rony Lopes,0.2,0.0,0.0,AM(CR),77.3,0.0,1.7,1.0,174.0,Lille,0.3,1.7,68.0,1.0
