,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,flag,fouled,fouls,full_time,goals,half_time,inter,keyp,league,longb,mins,motm,name,off,offsides,owng,player_number,position,ps_x,ps_y,rating,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
0,31.0,4.0,0.8,4.1,0.1,0.5,67.4,1.5,0.3,ba,1.6,1.8,25.0,10.0,1.0,0.3,0.8,Bundesliga,0.0,2099.0,4.0,Vedad Ibisevic,0.9,0.0,0.0,10103.0, FW,67.4,22.3,7.08,1.0,2.4,0.6,188.0,Hertha Berlin,0.7,2.2,82.0,5.0
24,27.0,1.0,0.3,1.8,0.0,0.2,48.7,0.5,0.2,de,0.5,0.8,0.0,0.0,6.0,0.2,0.3,Bundesliga,0.0,137.0,0.0,Julian Schieber,0.0,0.0,0.0,44800.0, FW,48.7,6.5,6.11,0.0,0.3,0.0,186.0,Hertha Berlin,0.0,0.7,83.0,1.0
39,27.0,2.0,0.6,3.1,0.0,0.7,75.9,0.4,0.2,nl,0.4,0.7,14.0,8.0,8.0,0.1,0.6,Bundesliga,0.0,1368.0,0.0,Bas Dost,0.5,0.0,0.0,34323.0, FW,75.9,18.3,6.81,0.0,1.8,0.1,196.0,Wolfsburg,0.5,0.8,78.0,0.0
51,28.0,0.0,0.2,0.9,0.1,0.2,63.9,0.6,0.2,dk,0.3,0.5,4.0,2.0,9.0,0.0,0.2,Bundesliga,0.0,414.0,0.0,Nicklas Bendtner,0.2,0.0,0.0,13819.0, FW,63.9,8.3,6.18,0.0,0.7,0.3,194.0,Wolfsburg,0.2,0.2,89.0,2.0
62,32.0,3.0,0.8,2.4,0.1,0.6,72.7,1.2,0.3,nl,1.3,1.6,29.0,12.0,2.0,0.3,0.8,Bundesliga,0.1,2483.0,3.0,Klaas-Jan Huntelaar,0.7,0.0,0.0,8013.0, FW,72.7,16.9,6.89,0.0,2.3,0.2,186.0,Schalke 04,0.2,1.5,83.0,2.0
85,27.0,1.0,1.0,1.4,0.1,0.7,69.2,1.4,0.6,is,0.6,1.6,13.0,7.0,1.0,1.0,1.0,Bundesliga,0.0,1133.0,0.0,Alfred Finnbogason,0.8,0.0,0.0,44722.0, FW,69.2,20.6,7.04,0.0,2.4,1.1,184.0,Augsburg,0.5,1.5,78.0,3.0
103,27.0,0.0,0.4,1.6,0.0,0.0,59.4,0.7,0.4,si,1.1,0.4,3.0,0.0,8.0,0.0,0.4,Bundesliga,0.1,369.0,0.0,Tim Matavz,0.5,0.0,0.0,25518.0, FW,59.4,6.3,6.32,0.0,1.2,0.7,188.0,Augsburg,0.0,0.6,81.0,1.0
108,31.0,0.0,0.0,0.3,0.0,0.0,28.6,0.3,0.0,de,0.0,1.0,0.0,0.0,4.0,0.0,0.0,Bundesliga,0.0,26.0,0.0,Sascha Mölders,0.0,0.0,0.0,31554.0, FW,28.6,1.8,6.08,0.0,0.5,0.3,187.0,Augsburg,0.0,0.0,82.0,0.0
119,25.0,1.0,1.1,4.1,0.0,0.3,64.2,2.2,0.7,py,2.3,2.2,15.0,2.0,2.0,0.5,1.1,Bundesliga,0.0,1247.0,1.0,Darío Lezcano,0.5,0.0,0.0,302671.0, FW,64.2,19.9,6.88,0.0,1.7,1.3,178.0,Ingolstadt,0.2,2.6,79.0,4.0
131,24.0,0.0,0.0,0.9,0.0,0.2,69.6,0.3,0.2,de,1.0,1.0,3.0,0.0,7.0,0.2,0.0,Bundesliga,0.0,269.0,0.0,Elias Kachunga,0.1,0.1,0.0,92804.0, FW,69.6,6.9,6.19,0.0,0.4,0.3,178.0,Ingolstadt,0.0,1.4,74.0,0.0
132,27.0,0.0,0.3,2.0,0.0,0.0,71.4,0.3,0.0,cz,0.0,0.8,1.0,0.0,3.0,0.0,0.3,Bundesliga,0.0,82.0,0.0,Tomas Pekhart,0.0,0.0,0.0,44810.0, FW,71.4,5.3,6.06,0.0,1.0,0.3,194.0,Ingolstadt,0.0,0.5,93.0,1.0
143,23.0,2.0,0.7,2.2,0.0,0.1,64.6,1.4,0.6,jp,1.1,2.3,18.0,7.0,2.0,0.7,0.7,Bundesliga,0.1,1497.0,2.0,Yoshinori Muto,1.2,0.0,0.0,132210.0, FW,64.6,13.6,6.94,0.0,1.7,1.2,178.0,Mainz 05,0.3,1.7,72.0,2.0
151,23.0,2.0,0.5,2.4,0.0,0.4,75.6,1.5,0.3,co,2.9,2.4,14.0,5.0,8.0,0.4,0.5,Bundesliga,0.0,1389.0,1.0,Jhon Córdoba,1.4,0.0,0.0,136904.0, FW,75.6,12.3,6.77,0.0,1.4,0.5,188.0,Mainz 05,0.3,2.7,85.0,2.0
179,23.0,1.0,0.5,1.2,0.0,0.1,69.9,0.9,0.2,nl,0.8,1.7,12.0,4.0,7.0,0.3,0.5,Bundesliga,0.0,942.0,2.0,Luc Castaignos,1.0,0.0,0.0,82646.0, FW,69.9,10.3,6.57,0.0,0.9,0.4,188.0,Eintracht Frankfurt,0.2,0.8,78.0,1.0
201,25.0,2.0,0.8,4.3,0.1,1.4,60.2,0.8,0.2,ng,1.1,1.3,26.0,11.0,6.0,0.1,0.8,Bundesliga,0.0,2335.0,2.0,Anthony Ujah,0.7,0.0,0.0,84145.0, FW,60.2,19.1,6.92,0.0,2.1,0.4,179.0,Werder Bremen,0.2,1.5,81.0,2.0
205,25.0,0.0,1.3,0.5,0.2,0.0,74.8,1.0,0.3,us,1.0,2.2,5.0,2.0,1.0,0.5,1.3,Bundesliga,0.5,409.0,0.0,Aron Jóhannsson,0.7,0.0,0.0,74639.0, FW,74.8,17.8,6.72,0.0,2.3,0.8,184.0,Werder Bremen,0.7,1.2,70.0,0.0
225,28.0,4.0,0.9,7.3,0.2,1.5,50.4,1.5,0.5,de,2.3,3.0,27.0,14.0,5.0,0.4,0.9,Bundesliga,0.1,2477.0,5.0,Sandro Wagner,0.5,0.0,0.0,22669.0, FW,50.4,28.0,7.19,1.0,2.7,1.0,194.0,Darmstadt,0.8,2.2,90.0,8.0
241,30.0,1.0,0.3,2.9,0.2,0.4,54.9,0.4,0.1,de,0.7,0.7,6.0,0.0,9.0,0.1,0.3,Bundesliga,0.0,511.0,0.0,Dominik Stroh-Engel,0.1,0.1,0.0,133507.0, FW,54.9,8.9,6.33,0.0,0.4,0.1,195.0,Darmstadt,0.1,0.5,91.0,0.0
263,24.0,2.0,0.6,2.8,0.1,1.1,69.0,1.1,0.5,de,1.0,1.7,21.0,8.0,9.0,0.1,0.6,Bundesliga,0.0,1755.0,2.0,Pierre-Michel Lasogga,0.6,0.0,0.0,83393.0, FW,69.0,15.9,6.66,0.0,1.8,0.3,189.0,Hamburger SV,0.4,1.3,88.0,5.0
268,28.0,1.0,0.4,1.9,0.2,0.8,60.4,0.7,0.1,lv,0.5,1.2,6.0,2.0,5.0,0.1,0.4,Bundesliga,0.1,600.0,0.0,Artjoms Rudnevs,0.6,0.0,0.0,28964.0, FW,60.4,14.5,6.44,0.0,1.4,0.4,183.0,Hamburger SV,0.4,1.9,81.0,1.0
269,27.0,4.0,0.7,1.9,0.1,0.7,65.1,0.3,0.5,de,1.2,1.6,9.0,0.0,11.0,0.5,0.7,Bundesliga,0.0,921.0,0.0,Sven Schipplock,0.2,0.0,0.0,30138.0, FW,65.1,12.8,6.44,0.0,0.6,0.6,186.0,Hamburger SV,0.1,1.1,84.0,3.0
275,25.0,1.0,1.7,6.1,0.0,0.7,61.1,1.9,0.6,de,2.3,1.6,7.0,3.0,0.0,0.3,1.7,Bundesliga,0.0,630.0,1.0,Daniel Ginczek,0.7,0.0,0.0,80388.0, FW,61.1,25.0,7.41,0.0,2.6,0.6,190.0,VfB Stuttgart,0.1,1.9,87.0,1.0
294,27.0,2.0,0.5,2.1,0.1,0.3,71.1,0.7,0.2,ua,0.4,0.9,5.0,1.0,10.0,0.1,0.5,Bundesliga,0.0,589.0,0.0,Artem Kravets,0.2,0.0,0.0,33479.0, FW,71.1,12.0,6.44,0.0,1.1,0.3,189.0,VfB Stuttgart,0.0,1.2,78.0,1.0
311,32.0,3.0,0.5,7.0,0.0,0.8,60.0,1.8,0.7,de,2.2,1.5,19.0,5.0,11.0,0.5,0.5,Bundesliga,0.0,1885.0,5.0,Stefan Kießling,0.5,0.0,0.0,8096.0, FW,60.0,22.2,7.17,0.0,1.4,1.1,191.0,Bayer Leverkusen,0.2,1.3,82.0,1.0
313,28.0,2.0,1.0,1.2,0.0,0.2,74.2,1.1,0.2,mx,1.9,0.9,25.0,17.0,3.0,0.3,1.0,Bundesliga,0.1,2174.0,0.0,Chicharito,1.3,0.0,0.0,35003.0, FW,74.2,19.1,7.1,0.0,2.3,0.5,175.0,Bayer Leverkusen,0.3,1.9,73.0,6.0
335,28.0,3.0,0.6,5.7,0.1,1.1,59.6,0.8,0.3,fr,2.1,1.3,33.0,15.0,1.0,0.3,0.6,Bundesliga,0.0,2875.0,5.0,Anthony Modeste,1.7,0.0,0.0,25605.0, FW,59.6,18.4,7.12,0.0,3.2,0.2,187.0,FC Cologne,0.2,2.4,84.0,4.0
352,27.0,0.0,0.3,0.6,0.0,0.2,71.0,0.7,0.3,at,0.7,0.5,4.0,1.0,11.0,0.0,0.3,Bundesliga,0.0,562.0,0.0,Philipp Hosiner,0.1,0.0,0.0,76984.0, FW,71.0,9.7,6.25,0.0,0.9,0.6,179.0,FC Cologne,0.1,0.8,79.0,2.0
381,23.0,0.0,0.0,0.2,0.0,0.0,77.5,0.3,0.1,se,0.3,0.3,0.0,0.0,9.0,0.1,0.0,Bundesliga,0.0,73.0,0.0,Branimir Hrgota,0.3,0.0,0.0,99989.0, FW,77.5,4.4,6.1,0.0,0.2,0.0,185.0,Borussia M.Gladbach,0.0,0.3,74.0,0.0
385,25.0,2.0,0.6,0.7,0.0,0.0,75.9,1.2,0.3,hr,0.9,0.7,12.0,5.0,3.0,0.5,0.6,Bundesliga,0.4,1085.0,0.0,Andrej Kramaric,0.2,0.0,0.0,75217.0, FW,75.9,22.7,6.85,1.0,2.8,0.3,177.0,Hoffenheim,0.5,1.4,73.0,0.0
402,34.0,0.0,0.3,1.9,0.1,0.6,57.8,0.7,0.3,de,0.6,1.1,5.0,0.0,9.0,0.4,0.3,Bundesliga,0.1,524.0,0.0,Kevin Kurányi,0.6,0.0,0.0,2766.0, FW,57.8,12.9,6.32,0.0,0.6,0.6,190.0,Hoffenheim,0.2,0.7,88.0,0.0
405,28.0,0.0,0.5,1.5,0.0,0.3,66.7,0.3,0.0,hu,0.5,1.0,1.0,0.0,3.0,0.3,0.5,Bundesliga,0.0,107.0,0.0,Ádám Szalai,0.3,0.0,0.0,21488.0, FW,66.7,7.5,6.23,0.0,1.0,0.0,193.0,Hoffenheim,0.0,0.8,91.0,0.0
407,19.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,br,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bundesliga,0.0,1.0,0.0,Joelinton,0.0,0.0,0.0,201755.0, FW,50.0,2.0,6.0,0.0,2.0,0.0,186.0,Hoffenheim,0.0,0.0,76.0,0.0
420,26.0,0.0,0.8,2.8,0.2,0.4,70.1,0.9,0.1,pl,1.0,1.6,19.0,7.0,6.0,0.1,0.8,Bundesliga,0.0,1633.0,1.0,Artur Sobiech,0.5,0.0,0.0,43282.0, FW,70.1,16.8,6.66,0.0,1.2,0.5,185.0,Hannover 96,0.1,1.2,81.0,3.0
429,32.0,0.0,0.9,4.7,0.0,1.0,56.6,0.6,0.1,pt,0.9,0.7,5.0,1.0,2.0,0.0,0.9,Bundesliga,0.3,529.0,0.0,Hugo Almeida,1.4,0.0,0.0,11678.0, FW,56.6,28.0,6.46,0.0,2.0,0.1,191.0,Hannover 96,0.4,1.4,93.0,1.0
432,28.0,2.0,1.0,1.7,0.0,0.1,70.2,2.0,0.3,hu,0.8,1.4,6.0,0.0,6.0,0.5,1.0,Bundesliga,0.0,687.0,0.0,Ádám Szalai,0.3,0.0,0.0,21488.0, FW,70.2,19.0,6.41,0.0,1.3,0.4,193.0,Hannover 96,0.3,1.3,91.0,2.0
433,29.0,1.0,0.4,1.3,0.0,0.8,81.0,0.4,0.0,tr,0.6,0.5,3.0,0.0,8.0,0.1,0.4,Bundesliga,0.0,374.0,0.0,Mevlüt Erdinc,0.7,0.0,0.0,19248.0, FW,81.0,5.3,6.27,0.0,0.6,0.2,181.0,Hannover 96,0.1,0.7,84.0,0.0
435,26.0,0.0,0.1,1.1,0.0,0.1,72.4,0.3,0.2,nl,0.1,0.8,2.0,1.0,7.0,0.4,0.1,Bundesliga,0.1,340.0,0.0,Charlison Benschop,0.3,0.0,0.0,33981.0, FW,72.4,8.4,6.2,0.0,0.8,0.1,191.0,Hannover 96,0.2,1.0,91.0,0.0
460,30.0,4.0,0.4,1.8,0.0,0.3,67.3,0.9,0.1,co,0.6,0.7,9.0,9.0,18.0,0.2,0.4,Bundesliga,0.0,931.0,1.0,Adrián Ramos,0.4,0.0,0.0,24420.0, FW,67.3,9.7,6.76,0.0,1.4,0.5,185.0,Borussia Dortmund,0.2,1.1,75.0,0.0
467,27.0,2.0,0.7,1.7,0.0,0.5,79.2,1.5,0.2,pl,1.5,1.1,29.0,30.0,3.0,0.2,0.7,Bundesliga,0.0,2654.0,6.0,Robert Lewandowski,1.2,0.0,0.0,29400.0, FW,79.2,23.8,7.58,0.0,4.8,0.4,185.0,Bayern Munich,0.4,2.7,79.0,2.0
502,29.0,1.0,0.9,2.8,0.0,0.7,71.9,1.5,1.2,ma,1.0,1.4,22.0,6.0,9.0,0.7,0.9,Ligue1,0.2,1929.0,4.0,Khalid Boutaib,0.7,0.0,0.0,288897.0, FW,71.9,21.9,6.71,0.0,1.8,1.2,190.0,GFC Ajaccio,0.3,2.3,80.0,3.0
505,36.0,0.0,0.7,2.2,0.1,0.6,71.9,1.3,0.4,fr,0.5,1.5,12.0,5.0,7.0,0.3,0.7,Ligue1,0.1,1142.0,0.0,Grégory Pujol,0.5,0.0,0.0,4495.0, FW,71.9,17.1,6.63,0.0,1.4,0.5,183.0,GFC Ajaccio,0.6,1.8,70.0,2.0
511,27.0,0.0,0.3,1.4,0.0,0.0,70.3,0.9,0.1,cd,1.0,1.1,12.0,3.0,11.0,0.5,0.3,Ligue1,0.0,1069.0,0.0,John Tshibumbu,0.3,0.0,0.0,234404.0, FW,70.3,12.1,6.32,0.0,1.4,0.5,176.0,GFC Ajaccio,0.2,1.1,70.0,6.0
514,28.0,0.0,0.1,0.0,0.0,0.0,74.7,0.2,0.7,tn,0.4,0.6,4.0,0.0,5.0,0.0,0.1,Ligue1,0.0,278.0,0.0,Amine Chermiti,0.1,0.0,0.0,33715.0, FW,74.7,9.2,6.04,0.0,0.7,0.7,176.0,GFC Ajaccio,0.0,0.8,68.0,0.0
516,34.0,13.0,1.5,1.4,0.1,0.9,78.9,1.7,0.4,se,1.1,0.9,29.0,38.0,2.0,0.2,1.5,Ligue1,0.0,2553.0,14.0,Zlatan Ibrahimovic,1.6,0.0,0.0,3281.0, FW,78.9,44.2,8.29,0.0,5.0,0.5,195.0,Paris Saint Germain,1.6,2.2,95.0,1.0
563,25.0,0.0,0.6,0.8,0.0,0.7,72.9,1.9,0.0,si,1.4,1.0,7.0,3.0,3.0,0.0,0.6,Ligue1,0.2,671.0,0.0,Robert Beric,0.9,0.0,0.0,69499.0, FW,72.9,17.7,6.53,0.0,1.6,0.7,188.0,Saint-Etienne,0.2,2.5,83.0,1.0
568,28.0,2.0,0.9,1.2,0.1,0.5,69.1,0.8,0.1,no,1.1,1.7,10.0,2.0,4.0,0.0,0.9,Ligue1,0.0,922.0,0.0,Alexander Søderlund,0.4,0.0,0.0,20682.0, FW,69.1,12.9,6.4,0.0,1.5,0.3,187.0,Saint-Etienne,0.1,1.9,86.0,1.0
571,19.0,2.0,0.5,0.1,0.0,0.1,76.6,1.0,0.3,fr,0.1,1.1,5.0,1.0,10.0,0.1,0.5,Ligue1,0.1,519.0,0.0,Neal Maupay,0.4,0.0,0.0,119822.0, FW,76.6,7.4,6.22,0.0,0.9,0.3,173.0,Saint-Etienne,0.2,1.4,73.0,3.0
590,36.0,2.0,0.4,4.9,0.0,0.5,53.4,1.3,0.6,br,1.6,1.7,19.0,3.0,8.0,0.2,0.4,Ligue1,0.0,1840.0,1.0,Brandão,0.7,0.0,0.0,7796.0, FW,53.4,16.0,6.49,1.0,1.0,0.4,189.0,SC Bastia,0.1,1.8,78.0,2.0
618,20.0,2.0,0.6,1.0,0.0,0.3,68.2,1.7,0.4,fr,0.8,1.2,7.0,3.0,9.0,0.1,0.6,Ligue1,0.2,724.0,0.0,Grejohn Kyei,0.2,0.0,0.0,276898.0, FW,68.2,9.6,6.51,0.0,1.2,0.3,187.0,Reims,0.3,2.1,84.0,3.0
623,27.0,0.0,0.6,1.3,0.0,0.3,67.9,2.1,0.3,fr,1.1,1.2,11.0,3.0,5.0,0.2,0.6,Ligue1,0.1,857.0,1.0,David Ngog,0.3,0.0,0.0,24457.0, FW,67.9,14.8,6.34,0.0,1.4,0.6,190.0,Reims,0.4,2.3,76.0,1.0
646,27.0,7.0,0.9,1.9,0.1,0.3,74.5,1.5,0.4,ci,1.1,1.7,28.0,7.0,6.0,0.4,0.9,Ligue1,0.0,2605.0,0.0,Giovanni Sio,0.9,0.0,0.0,27976.0, FW,74.5,22.1,6.66,2.0,2.1,0.6,180.0,Rennes,0.4,2.5,70.0,8.0
661,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,cf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ligue1,0.0,6.0,0.0,Mouhamadou Habib Habibou,0.0,0.0,0.0,30781.0, FW,0.0,0.0,6.05,0.0,0.0,0.0,192.0,Rennes,0.0,0.0,85.0,0.0
676,26.0,1.0,0.5,3.6,0.0,0.2,58.4,0.7,0.1,fr,1.0,1.0,14.0,7.0,13.0,0.1,0.5,Ligue1,0.1,1252.0,0.0,Sloan Privat,0.4,0.0,0.0,33862.0, FW,58.4,11.2,6.65,0.0,1.4,0.1,186.0,Guingamp,0.1,0.9,85.0,3.0
684,29.0,0.0,0.4,1.1,0.0,0.3,73.9,1.3,0.1,tr,0.7,0.5,11.0,4.0,4.0,0.1,0.4,Ligue1,0.1,875.0,0.0,Mevlüt Erdinc,0.7,0.0,0.0,19248.0, FW,73.9,11.7,6.43,0.0,1.2,0.3,181.0,Guingamp,0.3,1.6,84.0,0.0
689,27.0,0.0,0.3,1.5,0.0,0.2,62.6,0.8,0.4,ml,0.5,0.9,4.0,0.0,9.0,0.1,0.3,Ligue1,0.0,429.0,0.0,Mana Dembele,0.5,0.0,0.0,44660.0, FW,62.6,7.6,6.13,0.0,1.0,0.5,180.0,Guingamp,0.2,0.8,70.0,2.0
708,22.0,2.0,0.3,1.3,0.0,0.1,66.2,1.4,0.4,gn,0.8,1.3,9.0,2.0,10.0,0.2,0.3,Ligue1,0.0,936.0,0.0,Mohamed Yattara,0.5,0.1,0.0,109913.0, FW,66.2,14.0,6.41,0.0,1.0,1.1,185.0,Angers,0.0,1.9,76.0,2.0
713,28.0,0.0,0.3,0.3,0.0,0.0,73.6,0.7,0.3,rs,0.5,0.4,2.0,1.0,10.0,0.0,0.3,Ligue1,0.0,303.0,0.0,Goran Karanoviç,0.3,0.0,0.0,26857.0, FW,73.6,6.0,6.17,0.0,0.5,0.3,185.0,Angers,0.1,1.3,78.0,0.0
733,32.0,0.0,0.7,1.0,0.1,1.2,68.7,2.7,0.4,br,0.7,0.8,9.0,4.0,3.0,0.4,0.7,Ligue1,0.0,786.0,0.0,Vágner Love,0.7,0.0,0.0,10116.0, FW,68.7,16.3,6.75,0.0,2.0,0.7,172.0,Monaco,0.7,2.5,72.0,1.0
738,25.0,2.0,0.3,3.2,0.0,0.9,66.0,0.9,0.3,ar,0.6,1.2,15.0,4.0,16.0,0.2,0.3,Ligue1,0.0,1597.0,1.0,Guido Carrillo,0.4,0.0,1.0,125379.0, FW,66.0,17.2,6.57,0.0,1.4,0.3,191.0,Monaco,0.3,1.0,87.0,3.0
745,26.0,1.0,0.5,2.2,0.0,0.5,55.6,1.7,0.2,ci,0.8,1.7,11.0,3.0,8.0,0.2,0.5,Ligue1,0.1,817.0,1.0,Lacina Traoré,0.5,0.0,0.0,67180.0, FW,55.6,9.9,6.39,1.0,0.9,0.4,203.0,Monaco,0.3,1.9,87.0,3.0
800,30.0,2.0,0.4,1.6,0.0,0.3,71.9,1.4,0.6,ml,0.9,1.4,15.0,4.0,13.0,0.2,0.4,Ligue1,0.0,1405.0,0.0,Mustapha Yatabaré,0.7,0.0,0.0,42576.0, FW,71.9,16.0,6.45,0.0,1.2,0.6,186.0,Montpellier,0.3,2.0,70.0,3.0
813,24.0,2.0,1.1,4.4,0.0,0.2,58.3,2.2,0.6,fr,2.1,2.3,34.0,12.0,2.0,0.3,1.1,Ligue1,0.4,3142.0,4.0,Andy Delort,1.1,0.0,0.0,79976.0, FW,58.3,26.2,7.13,0.0,3.9,0.9,182.0,Caen,0.6,3.0,82.0,5.0
849,26.0,0.0,0.5,4.5,0.1,1.5,72.0,1.7,0.5,is,1.0,1.6,19.0,3.0,7.0,0.2,0.5,Ligue1,0.1,1694.0,2.0,Kolbeinn Sigthorsson,0.3,0.0,0.0,90347.0, FW,72.0,22.2,6.71,1.0,1.3,0.6,186.0,Nantes,0.3,1.7,84.0,4.0
850,25.0,3.0,1.0,1.8,0.1,0.6,69.1,2.2,0.8,ar,1.3,1.6,22.0,6.0,9.0,0.4,1.0,Ligue1,0.0,1962.0,3.0,Emiliano Sala,0.8,0.0,0.0,105025.0, FW,69.1,18.7,6.68,0.0,2.0,1.0,187.0,Nantes,0.4,2.5,75.0,3.0
898,28.0,4.0,0.7,3.8,0.2,0.9,70.9,1.5,0.4,pt,2.5,2.1,12.0,6.0,1.0,0.4,0.7,Ligue1,0.0,1073.0,2.0,Eder,0.8,0.0,0.0,43922.0, FW,70.9,25.2,7.26,0.0,2.4,0.4,188.0,Lille,0.2,3.9,81.0,1.0
917,23.0,3.0,0.6,1.3,0.1,0.5,75.9,1.7,0.2,ci,0.8,1.5,12.0,0.0,11.0,0.3,0.6,Ligue1,0.1,1107.0,0.0,Junior Tallo,0.7,0.0,0.0,91173.0, FW,75.9,13.7,6.37,0.0,1.5,0.1,185.0,Lille,0.2,2.1,77.0,2.0
918,21.0,0.0,0.2,3.5,0.0,0.9,55.7,1.0,0.4,be,1.0,0.8,5.0,0.0,5.0,0.5,0.2,Ligue1,0.0,539.0,0.0,Baptiste Guillaume,0.5,0.1,0.0,128564.0, FW,55.7,12.2,6.36,0.0,0.8,0.5,189.0,Lille,0.1,2.1,77.0,1.0
951,24.0,1.0,0.6,2.1,0.0,0.4,73.8,1.9,0.6,fr,1.1,1.3,19.0,7.0,10.0,0.3,0.6,Ligue1,0.0,1783.0,1.0,Benjamin Jeannot,0.5,0.0,0.0,89935.0, FW,73.8,22.6,6.57,0.0,2.2,0.6,183.0,Lorient,0.9,2.2,76.0,4.0
968,22.0,9.0,0.8,0.8,0.1,0.3,74.9,2.6,0.6,be,1.1,1.8,32.0,17.0,4.0,0.2,0.8,Ligue1,0.0,2938.0,0.0,Michy Batshuayi,1.3,0.0,0.0,97803.0, FW,74.9,18.7,6.93,0.0,3.4,0.4,185.0,Marseille,0.3,2.4,78.0,8.0
972,29.0,2.0,1.3,3.8,0.3,0.9,73.3,0.8,0.8,gb,1.3,1.4,9.0,2.0,3.0,0.1,1.3,Ligue1,0.1,754.0,1.0,Steven Fletcher,0.2,0.0,0.0,9766.0, FW,73.3,22.8,6.84,0.0,1.6,0.3,186.0,Marseille,0.4,1.3,76.0,1.0
1009,24.0,1.0,0.3,0.7,0.1,0.1,65.4,0.7,0.3,rs,0.7,0.7,5.0,2.0,18.0,0.0,0.3,Ligue1,0.0,604.0,1.0,Aleksandar Pesic,0.3,0.0,0.0,71126.0, FW,65.4,5.9,6.16,1.0,0.6,0.3,190.0,Toulouse,0.0,0.9,87.0,0.0
1025,28.0,4.0,0.6,3.3,0.0,1.1,64.8,1.4,0.3,ml,1.2,0.9,17.0,10.0,5.0,0.3,0.6,Ligue1,0.0,1446.0,2.0,Cheick Diabaté,1.5,0.0,0.0,42564.0, FW,64.8,18.3,6.95,1.0,1.7,0.0,194.0,Bordeaux,0.2,1.5,88.0,0.0
1035,21.0,4.0,0.6,2.9,0.0,0.5,73.3,1.3,0.1,fr,0.7,1.4,15.0,3.0,14.0,0.2,0.6,Ligue1,0.1,1528.0,0.0,Enzo Crivelli,0.2,0.0,0.0,142017.0, FW,73.3,12.8,6.54,1.0,1.0,0.4,184.0,Bordeaux,0.2,1.5,82.0,8.0
1044,23.0,0.0,0.3,1.4,0.0,0.0,73.7,0.9,0.7,se,0.4,0.9,3.0,0.0,4.0,0.3,0.3,Ligue1,0.0,302.0,0.0,Isaac Thelin,1.0,0.0,0.0,107465.0, FW,73.7,10.9,6.05,0.0,0.9,0.6,189.0,Bordeaux,0.0,1.6,83.0,0.0
1062,28.0,3.0,0.5,1.0,0.1,0.3,78.8,1.5,0.4,hr,2.3,1.4,25.0,12.0,11.0,0.1,0.5,SerieA,0.0,2571.0,2.0,Nikola Kalinic,1.0,0.0,0.0,25091.0, FW,78.8,16.0,6.67,0.0,2.0,0.3,187.0,Fiorentina,0.1,1.7,80.0,5.0
1065,23.0,1.0,0.3,0.7,0.0,0.3,70.3,0.9,0.1,sn,0.9,1.3,11.0,5.0,7.0,0.2,0.3,SerieA,0.1,802.0,1.0,Khouma Babacar,0.3,0.1,0.0,80831.0, FW,70.3,10.3,6.63,0.0,1.7,0.6,184.0,Fiorentina,0.1,1.1,68.0,2.0
1071,29.0,2.0,0.7,0.1,0.0,0.0,77.7,1.0,0.3,it,0.7,0.5,4.0,0.0,7.0,0.1,0.7,SerieA,0.1,369.0,0.0,Giuseppe Rossi,0.2,0.0,0.0,13802.0, FW,77.7,13.5,6.32,0.0,1.5,0.5,173.0,Fiorentina,0.2,0.7,72.0,1.0
1085,38.0,7.0,0.8,1.6,0.0,0.6,66.4,0.6,0.1,de,0.8,1.0,14.0,7.0,10.0,0.5,0.8,SerieA,0.1,1360.0,3.0,Miroslav Klose,0.3,0.0,0.0,374.0, FW,66.4,14.1,6.86,0.0,1.3,0.4,184.0,Lazio,0.3,1.0,84.0,3.0
1098,28.0,2.0,0.4,1.2,0.0,0.7,71.6,0.6,0.6,rs,0.9,0.8,16.0,3.0,11.0,0.4,0.4,SerieA,0.0,1291.0,0.0,Filip Djordjevic,0.5,0.0,0.0,33399.0, FW,71.6,12.1,6.32,1.0,0.8,0.4,186.0,Lazio,0.3,1.2,80.0,1.0
1099,31.0,1.0,0.4,0.2,0.0,0.3,66.5,1.2,0.0,it,0.8,0.7,7.0,4.0,12.0,0.1,0.4,SerieA,0.2,811.0,0.0,Alessandro Matri,0.7,0.0,0.0,25079.0, FW,66.5,8.9,6.24,1.0,0.6,0.1,183.0,Lazio,0.3,1.4,80.0,1.0
1113,39.0,0.0,0.6,2.2,0.1,0.5,55.0,1.5,0.4,it,2.8,1.9,20.0,6.0,3.0,0.2,0.6,SerieA,0.1,1774.0,0.0,Luca Toni,0.7,0.0,0.0,164.0, FW,55.0,16.0,6.59,0.0,2.6,0.2,196.0,Verona,0.1,2.0,88.0,3.0
1125,31.0,1.0,0.4,1.4,0.1,0.4,67.6,1.3,0.2,it,2.0,1.2,20.0,6.0,10.0,0.1,0.4,SerieA,0.0,1912.0,0.0,Giampaolo Pazzini,0.5,0.0,0.0,9975.0, FW,67.6,12.0,6.39,0.0,2.6,0.2,180.0,Verona,0.2,1.3,77.0,5.0
