,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,flag,fouled,fouls,full_time,goals,half_time,inter,keyp,league,longb,mins,motm,name,off,offsides,owng,player_number,position,ps_x,ps_y,rating,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
2379,22.0,0.0,0.3,0.0,0.0,0.0,67.4,0.4,0.4,uy,0.8,0.6,1.0,0.0,7.0,0.3,0.3,LaLiga,0.3,154.0,0.0,Nico López,0.1,0.0,0.0,118157.0," AM(CR),FW",67.4,5.8,6.17,0.0,0.9,0.4,175.0,Granada,0.3,0.0,68.0,0.0
2446,28.0,16.0,2.3,0.2,0.0,0.0,81.9,2.2,0.2,ar,1.8,0.4,31.0,26.0,2.0,0.2,2.3,LaLiga,0.4,2730.0,13.0,Lionel Messi,0.3,0.0,0.0,11119.0," AM(CR),FW",81.9,55.7,8.46,0.0,4.8,0.3,170.0,Barcelona,3.5,0.9,72.0,3.0
2528,28.0,4.0,1.4,0.6,0.1,0.3,77.5,1.4,0.5,es,1.0,1.1,31.0,14.0,4.0,0.4,1.4,LaLiga,0.3,2668.0,6.0,Iago Aspas,0.5,0.0,0.0,91242.0," AM(CR),FW",77.5,26.7,7.02,0.0,2.3,0.7,176.0,Celta Vigo,1.1,1.6,67.0,8.0
2575,27.0,8.0,2.0,0.1,0.1,0.0,79.1,1.8,0.4,es,1.3,1.0,35.0,17.0,1.0,0.1,2.0,LaLiga,0.7,3141.0,2.0,Lucas Pérez,1.0,0.0,0.0,135663.0," AM(CR),FW",79.1,24.9,7.1,0.0,2.8,0.5,181.0,Deportivo La Coruna,0.6,2.1,73.0,3.0
2875,34.0,3.0,0.7,1.8,0.2,0.9,72.5,1.0,0.8,nl,1.7,1.6,21.0,3.0,4.0,0.5,0.7,Eredivisie,0.7,1802.0,0.0,Nick van der Velden,0.9,0.0,0.0,24262.0," AM(CR),FW",72.5,27.5,6.61,0.0,1.1,0.7,187.0,Willem II,1.5,1.8,78.0,6.0
54,19.0,0.0,0.0,0.0,0.0,0.0,72.7,0.0,0.0,de,0.0,0.3,0.0,0.0,4.0,0.3,0.0,Bundesliga,0.0,44.0,0.0,Leandro Putaro,0.0,0.0,0.0,303106.0, Forward,72.7,2.8,6.07,0.0,0.3,0.0,187.0,Wolfsburg,0.0,0.0,0.0,0.0
77,18.0,0.0,1.0,1.0,0.0,0.0,75.0,0.0,0.0,de,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Bundesliga,0.0,3.0,0.0,Fabian Reese,0.0,0.0,0.0,300345.0, Forward,75.0,4.0,6.07,0.0,0.0,0.0,184.0,Schalke 04,0.0,0.0,76.0,0.0
82,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,de,0.0,1.0,0.0,0.0,1.0,0.0,0.0,Bundesliga,0.0,1.0,0.0,Felix Platte,0.0,0.0,0.0,260990.0, Forward,0.0,0.0,5.87,0.0,0.0,0.0,190.0,Schalke 04,0.0,0.0,88.0,1.0
102,19.0,0.0,0.0,1.0,0.0,0.0,66.7,1.0,0.0,ch,0.0,2.0,0.0,0.0,1.0,0.0,0.0,Bundesliga,0.0,36.0,0.0,Albian Ajeti,0.0,0.0,0.0,143693.0, Forward,66.7,3.0,6.33,0.0,0.0,1.0,183.0,Augsburg,0.0,0.0,77.0,0.0
152,24.0,1.0,0.6,0.6,0.0,0.2,62.5,0.6,0.6,at,1.0,1.0,3.0,1.0,6.0,0.4,0.6,Bundesliga,0.2,331.0,1.0,Karim Onisiwo,0.1,0.0,0.0,313405.0, Forward,62.5,7.1,6.73,0.0,1.2,2.0,188.0,Mainz 05,0.2,1.1,76.0,1.0
160,25.0,0.0,0.0,0.3,0.0,0.1,45.7,0.3,0.2,de,0.3,1.0,1.0,0.0,11.0,0.3,0.0,Bundesliga,0.0,177.0,0.0,Florian Niederlechner,0.3,0.0,0.0,132926.0, Forward,45.7,2.9,6.04,0.0,0.4,0.3,186.0,Mainz 05,0.1,0.9,86.0,2.0
189,20.0,1.0,0.8,0.4,0.0,0.1,68.2,0.4,0.2,de,0.5,0.6,0.0,0.0,12.0,0.3,0.8,Bundesliga,0.0,229.0,0.0,Luca Waldschmidt,0.0,0.0,0.0,148484.0, Forward,68.2,7.3,6.16,0.0,0.4,0.1,181.0,Eintracht Frankfurt,0.1,0.4,73.0,0.0
220,21.0,0.0,0.0,0.1,0.0,0.1,48.0,0.4,0.7,de,0.4,0.6,1.0,0.0,8.0,0.4,0.0,Bundesliga,0.1,145.0,0.0,Melvyn Lorenzen,0.0,0.0,0.0,137002.0, Forward,48.0,2.8,6.05,0.0,0.1,0.2,188.0,Werder Bremen,0.0,0.1,86.0,0.0
244,30.0,1.0,0.3,0.6,0.1,0.1,60.3,0.4,0.1,de,0.6,0.9,3.0,1.0,11.0,0.3,0.3,Bundesliga,0.0,431.0,0.0,Marco Sailer,0.3,0.0,0.0,133508.0, Forward,60.3,4.9,6.15,0.0,0.4,0.4,171.0,Darmstadt,0.2,0.1,77.0,1.0
245,20.0,0.0,0.2,0.8,0.0,0.0,52.1,0.2,0.1,de,0.4,0.5,1.0,0.0,10.0,0.1,0.2,Bundesliga,0.0,142.0,0.0,Felix Platte,0.1,0.0,0.0,260990.0, Forward,52.1,4.4,6.09,0.0,0.4,0.3,190.0,Darmstadt,0.2,0.5,88.0,1.0
271,20.0,0.0,0.0,2.0,0.0,0.0,66.7,0.0,0.0,tr,0.0,2.0,0.0,0.0,1.0,0.0,0.0,Bundesliga,0.0,26.0,0.0,Batuhan Altintas,0.0,0.0,0.0,122309.0, Forward,66.7,6.0,6.26,0.0,1.0,0.0,190.0,Hamburger SV,0.0,1.0,85.0,1.0
301,22.0,0.0,0.1,1.3,0.0,0.2,64.9,0.2,0.0,ua,0.2,0.6,0.0,0.0,9.0,0.1,0.1,Bundesliga,0.0,147.0,0.0,Boris Tashchy,0.1,0.0,0.0,103150.0, Forward,64.9,6.3,6.09,0.0,0.2,0.2,192.0,VfB Stuttgart,0.0,0.2,90.0,0.0
438,20.0,0.0,0.0,0.0,0.0,0.0,67.7,0.5,0.5,de,0.5,0.5,1.0,0.0,3.0,0.3,0.0,Bundesliga,0.0,116.0,0.0,Valmir Sulejmani,0.0,0.0,0.0,137849.0, Forward,67.7,7.8,6.02,0.0,0.5,0.5,184.0,Hannover 96,0.0,1.0,74.0,0.0
439,21.0,0.0,0.0,0.5,0.5,3.0,44.4,2.0,2.5,de,0.5,0.5,2.0,0.0,0.0,1.5,0.0,Bundesliga,0.0,141.0,0.0,Marius Wolf,0.5,0.0,0.0,312666.0, Forward,44.4,9.0,5.95,0.0,0.5,0.5,187.0,Hannover 96,0.0,0.5,73.0,1.0
491,19.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,rs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Bundesliga,0.0,1.0,0.0,Milos Pantovic,0.0,0.0,0.0,298436.0, Forward,100.0,1.0,6.0,0.0,0.0,0.0,185.0,Bayern Munich,1.0,1.0,67.0,0.0
542,23.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,fr,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ligue1,0.0,3.0,0.0,Timothee Taufflieb,0.0,0.0,0.0,315560.0, Forward,100.0,8.0,5.98,0.0,0.0,0.0,172.0,Paris Saint Germain,0.0,1.0,75.0,0.0
565,20.0,0.0,0.4,1.0,0.0,0.2,77.5,2.0,0.8,fr,0.6,1.4,4.0,1.0,1.0,0.4,0.4,Ligue1,0.0,294.0,1.0,Jonathan Bamba,0.2,0.0,0.0,241019.0, Forward,77.5,20.4,6.49,0.0,1.8,0.6,173.0,Saint-Etienne,1.0,2.8,67.0,0.0
621,20.0,3.0,0.4,0.9,0.0,0.1,69.4,0.8,0.2,,0.2,1.1,6.0,3.0,19.0,0.3,0.4,Ligue1,0.1,831.0,0.0,Jordan Siebatcheu,0.1,0.0,0.0,260812.0, Forward,69.4,8.4,6.39,0.0,1.1,0.8,190.0,Reims,0.0,1.1,84.0,1.0
627,20.0,0.0,0.5,1.1,0.0,1.3,79.5,0.3,0.3,,0.5,0.9,4.0,0.0,4.0,0.8,0.5,Ligue1,0.0,346.0,0.0,Aly Ndom,0.0,0.0,0.0,296841.0, Forward,79.5,22.0,6.29,0.0,0.5,0.6,0.0,Reims,0.8,0.5,0.0,0.0
