,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,league,longb,name,off,offsides,owng,position,ps_x,red,spg,tackles,tall,team_name,thrb,unstch,weight,yel
743,23.0,0.0,0.5,1.0,0.5,5.0,82.9,0.3,0.8,0.5,1.3,0.0,1.3,0.5,Ligue1,0.3,Jemerson,0.0,1.5,0.0,D(C),82.9,0.0,0.3,2.0,184.0,Monaco,1.3,0.3,77.0,2.0
759,32.0,0.0,0.0,1.7,0.7,3.8,92.1,0.2,0.0,0.3,0.8,0.0,1.5,0.0,Ligue1,0.0,Milan Bisevac,0.0,0.5,0.0,D(C),92.1,0.0,0.0,1.0,185.0,Lyon,6.5,0.0,85.0,1.0
771,28.0,0.0,0.0,2.3,0.2,4.2,90.7,0.3,0.5,0.8,0.7,0.0,2.0,0.0,Ligue1,0.0,Bakary Koné,0.0,1.0,0.0,D(C),90.7,0.0,0.5,0.5,188.0,Lyon,1.5,0.2,80.0,1.0
773,24.0,0.0,0.0,5.0,0.0,3.0,89.7,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Ligue1,0.0,Lindsay Rose,0.0,3.0,0.0,D(C),89.7,0.0,1.0,1.0,184.0,Lyon,8.0,0.0,80.0,0.0
783,38.0,1.0,0.3,2.2,0.7,4.6,74.6,0.2,0.7,0.8,0.7,1.0,3.2,0.3,Ligue1,0.1,Hilton,0.0,1.1,0.0,D(C),74.6,1.0,0.7,1.7,180.0,Montpellier,6.8,0.2,78.0,3.0
810,28.0,0.0,0.1,2.9,0.5,5.3,79.8,0.4,0.3,0.8,0.8,2.0,3.2,0.1,Ligue1,0.0,Damien Da Silva,0.1,0.7,0.0,D(C),79.8,1.0,0.6,2.6,183.0,Caen,4.6,0.2,81.0,4.0
811,27.0,1.0,0.4,3.6,0.4,5.4,71.9,0.2,0.7,0.6,1.3,3.0,3.2,0.4,Ligue1,0.1,Syam Ben Youssef,0.1,0.4,0.0,D(C),71.9,1.0,0.3,2.7,189.0,Caen,3.1,0.3,82.0,1.0
818,34.0,0.0,0.2,3.3,0.7,5.0,69.2,0.3,0.3,1.3,1.2,1.0,1.7,0.2,Ligue1,0.0,Alaeddine Yahia,0.1,0.3,1.0,D(C),69.2,1.0,0.6,1.3,187.0,Caen,2.5,0.3,81.0,5.0
827,30.0,0.0,0.0,1.7,0.0,1.3,64.4,0.6,0.4,0.7,1.1,0.0,1.1,0.0,Ligue1,0.1,Alexandre Raineau,0.0,0.0,0.0,D(C),64.4,0.0,0.0,2.4,178.0,Caen,0.7,0.4,71.0,0.0
840,23.0,0.0,0.0,1.1,0.6,4.9,84.3,0.2,0.8,0.3,0.8,0.0,2.5,0.0,Ligue1,0.0,Koffi Djidji,0.0,1.2,0.0,D(C),84.3,0.0,0.1,2.5,184.0,Nantes,3.6,0.4,71.0,4.0
