league,team_name,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,goals,inter,keyp,longb,motm,off,offsides,owng,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel
PremierLeague,Bournemouth,28.0,1.25,0.39999999999999997,1.6999999999999997,0.30000000000000004,3.3000000000000007,83.5375,0.4375,0.575,0.475,0.525,1.25,1.8250000000000002,0.39999999999999997,0.25,0.875,0.0875,0.3625,0.0,83.5375,34.574999999999996,6.6975,0.125,0.35000000000000003,1.3875000000000002,182.25,2.2875,0.4,77.125,2.5
PremierLeague,Crystal Palace,29.5,0.75,0.3,2.4000000000000004,0.6625,4.525,75.125,0.4375,0.6625,0.6125,1.0125,1.125,2.0625,0.3,0.21250000000000002,0.5,0.0625,0.275,0.375,75.125,33.262499999999996,6.81625,0.125,0.4625,1.5125000000000002,186.5,2.3249999999999997,0.38749999999999996,79.375,3.75
PremierLeague,Everton,24.76923076923077,0.5384615384615384,0.33076923076923076,0.9000000000000001,0.5461538461538461,3.376923076923077,83.57692307692307,0.5461538461538461,0.8,0.5692307692307693,0.4230769230769231,0.5384615384615384,1.5384615384615385,0.33076923076923076,0.24615384615384617,0.38461538461538464,0.05384615384615384,0.23846153846153847,0.07692307692307693,83.57692307692307,31.769230769230766,6.806923076923076,0.07692307692307693,0.5461538461538462,1.630769230769231,166.23076923076923,2.4076923076923076,0.37692307692307686,68.84615384615384,1.2307692307692308
PremierLeague,Leicester,29.0,1.5454545454545454,0.4818181818181818,1.5454545454545454,0.6090909090909091,2.9818181818181815,70.11818181818182,0.4272727272727273,0.8272727272727273,0.4454545454545454,0.9,0.9090909090909091,2.3272727272727276,0.4818181818181818,0.21818181818181817,1.0,0.009090909090909092,0.26363636363636367,0.0,70.11818181818182,26.4,6.98,0.18181818181818182,0.5454545454545454,2.1363636363636362,181.8181818181818,1.6818181818181819,0.47272727272727283,78.27272727272727,2.909090909090909
PremierLeague,Liverpool,25.0,0.5384615384615384,0.5461538461538461,1.5230769230769228,0.40769230769230763,2.93076923076923,78.5153846153846,0.6846153846153847,0.7461538461538463,0.5461538461538462,0.9769230769230769,0.46153846153846156,1.5769230769230769,0.5461538461538461,0.2153846153846154,0.46153846153846156,0.03076923076923077,0.22307692307692312,0.07692307692307693,78.5153846153846,41.61538461538461,6.759999999999999,0.07692307692307693,0.5230769230769231,1.9846153846153847,182.84615384615384,2.123076923076923,0.5538461538461539,76.0,3.076923076923077
PremierLeague,Manchester City,30.1,1.0,0.52,1.9,0.26,3.59,84.50000000000001,0.42000000000000004,1.0699999999999998,0.61,1.0299999999999998,1.0,2.22,0.52,0.27999999999999997,0.8,0.030000000000000006,0.4000000000000001,0.1,84.50000000000001,46.39999999999999,7.088000000000001,0.0,0.56,2.08,181.9,2.1799999999999997,0.47000000000000003,75.7,4.7
PremierLeague,Manchester United,24.666666666666668,0.7333333333333333,0.38,1.1866666666666665,0.21333333333333337,2.033333333333333,81.13333333333334,0.5066666666666666,0.8066666666666668,0.5533333333333333,0.9600000000000002,0.26666666666666666,1.6333333333333333,0.38,0.3533333333333334,0.4666666666666667,0.04,0.16666666666666666,0.06666666666666667,81.13333333333334,38.83333333333333,6.845333333333333,0.0,0.28,2.02,158.4,2.2,0.5733333333333334,64.46666666666667,2.466666666666667
PremierLeague,Newcastle United,24.90909090909091,0.7272727272727273,0.29090909090909095,1.0909090909090908,0.5181818181818182,2.8181818181818183,70.21818181818182,0.34545454545454546,0.7363636363636363,0.5454545454545454,0.7545454545454544,0.7272727272727273,1.8000000000000005,0.29090909090909095,0.24545454545454548,0.36363636363636365,0.045454545454545456,0.3,0.18181818181818182,70.21818181818182,28.545454545454547,6.669090909090911,0.2727272727272727,0.3090909090909091,1.8727272727272728,181.72727272727272,1.9181818181818182,0.4363636363636363,75.0,3.1818181818181817
PremierLeague,Norwich,27.333333333333332,0.4444444444444444,0.36666666666666664,1.6777777777777778,0.4555555555555556,5.1,72.19999999999999,0.43333333333333335,0.7,0.4888888888888888,0.7888888888888889,1.1111111111111112,1.4777777777777776,0.36666666666666664,0.4444444444444444,0.8888888888888888,0.05555555555555555,0.4666666666666668,0.2222222222222222,72.19999999999999,29.65555555555555,6.706666666666666,0.2222222222222222,0.5444444444444444,1.4999999999999998,183.55555555555554,2.266666666666667,0.5666666666666668,77.11111111111111,2.7777777777777777
PremierLeague,Southampton,24.666666666666668,0.75,0.43333333333333335,1.4666666666666668,0.37500000000000006,3.0500000000000003,78.82499999999999,0.4666666666666666,0.6833333333333332,0.525,0.6916666666666668,0.8333333333333334,1.8833333333333337,0.43333333333333335,0.35000000000000003,0.9166666666666666,0.03333333333333333,0.16666666666666666,0.0,78.82499999999999,30.933333333333334,6.8675,0.3333333333333333,0.5,1.7833333333333332,183.33333333333334,2.2416666666666667,0.65,76.91666666666667,2.75
PremierLeague,Stoke,27.166666666666668,0.5,0.3833333333333333,1.3833333333333335,0.6166666666666666,2.808333333333333,76.05833333333332,0.4666666666666666,0.8500000000000001,0.6666666666666666,0.7833333333333333,0.16666666666666666,1.5999999999999999,0.3833333333333333,0.13333333333333336,0.6666666666666666,0.03333333333333333,0.2083333333333333,0.0,76.05833333333332,34.68333333333333,6.7508333333333335,0.16666666666666666,0.425,1.9583333333333333,185.83333333333334,1.7083333333333333,0.6166666666666666,78.75,2.3333333333333335
PremierLeague,Sunderland,27.09090909090909,0.7272727272727273,0.3,1.8727272727272726,0.4272727272727272,5.263636363636365,72.11818181818181,0.4636363636363636,0.8454545454545453,0.5545454545454546,0.6909090909090909,0.6363636363636364,1.5272727272727273,0.3,0.19090909090909092,0.45454545454545453,0.02727272727272728,0.3090909090909091,0.09090909090909091,72.11818181818181,26.927272727272722,6.899090909090908,0.09090909090909091,0.41818181818181815,2.3000000000000003,184.0,1.6727272727272726,0.5363636363636363,77.72727272727273,2.0
PremierLeague,Swansea,26.8,1.0,0.48,1.44,0.5799999999999998,3.9799999999999995,81.64,0.42000000000000004,0.65,0.77,0.7899999999999999,0.6,1.85,0.48,0.34,0.8,0.04,0.38,0.5,81.64,40.64,6.825,0.1,0.43,1.5500000000000003,182.8,2.3600000000000003,0.5399999999999999,75.2,3.2
