team_name,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel,labeled_league
Augsburg,29.25,0.75,0.95,1.475,0.07500000000000001,0.65,77.69999999999999,0.7250000000000001,0.625,1.075,0.9750000000000001,14.25,2.5,3.75,1.15,0.95,0.35,1240.0,1.0,0.0,0.0,0.0,33597.25,77.69999999999999,28.3,6.65,0.0,0.9,1.2249999999999999,177.0,1.6500000000000001,0.775,74.75,3.25,0
Bayer Leverkusen,23.142857142857142,1.4285714285714286,0.8428571428571429,1.3,0.14285714285714285,0.8857142857142859,77.29999999999998,0.6142857142857142,1.0142857142857142,0.8571428571428571,1.3142857142857145,10.285714285714286,1.4285714285714286,3.4285714285714284,2.3,0.8428571428571429,0.32857142857142857,920.0,0.7142857142857143,0.042857142857142864,0.042857142857142864,0.0,134516.42857142858,77.29999999999998,30.9,7.00142857142857,0.0,1.2142857142857142,1.885714285714286,179.14285714285714,2.1285714285714286,0.8142857142857142,75.0,1.8571428571428572,0
Bayern Munich,27.5,3.75,1.4500000000000002,0.8875000000000002,0.0625,0.35000000000000003,85.05,0.65,0.65,0.9625000000000001,1.1375,17.5,4.75,5.625,0.8375,1.4500000000000002,0.5125000000000001,1550.875,2.0,0.3125,0.0625,0.125,45129.0,85.05,47.737500000000004,7.197500000000002,0.125,1.75,1.35,178.5,1.8875000000000002,0.9500000000000001,72.875,2.25,0
Borussia Dortmund,24.5,3.6,0.9799999999999999,0.53,0.05,0.26,82.6,1.0699999999999998,0.55,0.9199999999999999,0.7000000000000001,13.2,5.4,3.7,0.8799999999999999,0.9799999999999999,0.2,1186.4,1.7,0.30999999999999994,0.0,0.0,100662.2,82.6,36.660000000000004,6.947,0.0,1.3599999999999999,1.02,177.4,1.2899999999999998,0.9799999999999999,72.1,1.5,0
Borussia M.Gladbach,23.2,3.8,0.8800000000000001,1.52,0.2,0.8400000000000001,82.22,0.76,0.78,1.3,1.52,18.6,3.6,4.6,1.58,0.8800000000000001,0.06000000000000001,1614.4,1.0,0.12,0.2,0.0,115371.8,82.22,43.11999999999999,6.986,0.6,1.08,1.6199999999999999,181.4,2.4400000000000004,0.82,74.2,2.8,0
Darmstadt,31.0,1.5,0.42500000000000004,1.95,0.15000000000000002,0.5499999999999999,43.375,0.4,0.875,0.95,1.175,20.25,2.0,1.75,1.125,0.42500000000000004,0.15,1732.75,0.75,0.275,0.0,0.0,45888.0,43.375,13.95,6.5575,0.0,0.65,1.3,181.0,0.675,0.725,74.75,5.5,0
Eintracht Frankfurt,23.714285714285715,0.5714285714285714,0.49999999999999994,1.342857142857143,0.07142857142857142,0.4714285714285715,74.81428571428572,0.9142857142857144,0.7571428571428571,0.8571428571428571,1.0571428571428572,9.857142857142858,2.2857142857142856,1.5714285714285714,1.257142857142857,0.49999999999999994,0.21428571428571433,847.8571428571429,0.5714285714285714,0.15714285714285717,0.0,0.0,153767.57142857142,74.81428571428572,23.77142857142857,6.607142857142856,0.14285714285714285,1.114285714285714,1.0285714285714287,182.0,1.1,1.1142857142857143,77.85714285714286,2.142857142857143,0
FC Cologne,24.6,1.2,0.4800000000000001,1.0799999999999998,0.12,0.76,74.75999999999999,0.4,0.5,0.82,0.7200000000000001,11.2,0.8,5.4,0.86,0.4800000000000001,0.12,1052.2,0.0,0.04,0.02,0.0,138478.2,74.75999999999999,21.259999999999998,6.459999999999999,0.2,0.82,0.9800000000000001,177.6,0.8400000000000001,1.16,60.6,2.2,0
Hamburger SV,26.625,1.375,0.7125,1.3249999999999997,0.09999999999999999,0.65,77.31250000000001,0.85,0.8625,1.2,1.4375000000000002,16.5,2.25,2.875,1.3,0.7125,0.375,1419.625,0.875,0.11250000000000002,0.0125,0.25,74277.625,77.31250000000001,26.849999999999998,6.755,0.0,0.7499999999999999,1.6500000000000001,180.5,1.25,0.8999999999999999,74.25,2.875,0
Hannover 96,23.0,0.8333333333333334,0.5499999999999999,1.2166666666666666,0.09999999999999999,0.3,57.48333333333334,0.6333333333333333,0.5833333333333334,0.7333333333333333,1.2499999999999998,6.833333333333333,0.6666666666666666,3.1666666666666665,0.8999999999999999,0.5499999999999999,0.11666666666666665,623.8333333333334,0.3333333333333333,0.06666666666666667,0.0,0.0,158176.83333333334,57.48333333333334,15.983333333333334,6.48,0.0,0.9666666666666668,0.9166666666666666,177.5,0.7000000000000001,0.9500000000000001,58.666666666666664,1.6666666666666667,0
Hertha Berlin,25.6,1.6,0.52,0.8800000000000001,0.1,0.6599999999999999,71.38,0.68,0.52,0.86,0.96,15.0,1.2,6.0,1.3199999999999998,0.52,0.22000000000000003,1354.2,0.2,0.06000000000000001,0.04,0.0,99157.8,71.38,30.639999999999997,6.586,0.0,0.82,1.06,176.4,1.6400000000000001,0.6599999999999999,72.4,3.4,0
Hoffenheim,24.8,0.8,0.36,0.86,0.08,1.0,76.76000000000002,0.6200000000000001,0.86,0.8,0.9,9.2,0.4,4.6,1.2399999999999998,0.36,0.02,814.4,0.0,0.02,0.02,0.2,150825.2,76.76000000000002,22.359999999999996,6.458,0.0,0.5,1.44,177.0,0.62,0.56,74.6,2.8,0
Ingolstadt,24.285714285714285,1.4285714285714286,0.6571428571428571,1.342857142857143,0.07142857142857142,0.7000000000000001,66.61428571428571,0.5285714285714286,0.7285714285714285,1.3714285714285714,1.2142857142857142,14.0,0.42857142857142855,4.428571428571429,1.457142857142857,0.6571428571428571,0.37142857142857144,1282.4285714285713,0.14285714285714285,0.07142857142857142,0.028571428571428574,0.0,113610.85714285714,66.61428571428571,22.271428571428572,6.46,0.14285714285714285,0.8857142857142859,1.1857142857142855,179.42857142857142,1.3142857142857145,0.7428571428571429,77.28571428571429,3.2857142857142856,0
Mainz 05,24.77777777777778,1.1111111111111112,0.30000000000000004,0.5,0.1,0.2555555555555556,69.44444444444444,0.5,0.5666666666666667,0.35555555555555557,0.5555555555555556,6.888888888888889,1.3333333333333333,4.555555555555555,0.6111111111111112,0.30000000000000004,0.18888888888888888,609.4444444444445,0.2222222222222222,0.03333333333333333,0.0,0.0,115539.33333333333,69.44444444444444,10.855555555555554,6.323333333333334,0.0,0.48888888888888893,0.6777777777777777,179.55555555555554,0.4222222222222222,0.5,72.88888888888889,0.7777777777777778,0
Schalke 04,24.0,1.3333333333333333,0.75,1.15,0.15,0.6,76.06666666666666,1.0,0.85,1.1,0.9,11.666666666666666,2.0,6.0,1.3166666666666667,0.75,0.18333333333333335,1071.6666666666667,1.1666666666666667,0.16666666666666666,0.016666666666666666,0.16666666666666666,83626.33333333333,76.06666666666666,23.700000000000003,6.833333333333333,0.0,1.3,1.25,182.33333333333334,1.0,0.9833333333333333,79.66666666666667,2.0,0
VfB Stuttgart,23.714285714285715,1.0,0.6714285714285715,0.8428571428571429,0.07142857142857142,0.48571428571428577,76.04285714285713,0.5428571428571428,0.5857142857142856,0.5285714285714286,0.9571428571428571,9.142857142857142,1.8571428571428572,4.0,0.9857142857142858,0.6714285714285715,0.1142857142857143,838.5714285714286,0.2857142857142857,0.09999999999999999,0.042857142857142864,0.14285714285714285,180342.2857142857,76.04285714285713,18.857142857142858,6.4957142857142856,0.0,0.7571428571428571,1.0999999999999999,180.71428571428572,0.6285714285714284,0.9571428571428573,76.0,1.5714285714285714,0
Werder Bremen,23.5,1.1666666666666667,0.5499999999999999,1.0000000000000002,0.06666666666666667,0.3333333333333333,69.85833333333333,0.6333333333333333,0.7416666666666667,0.7499999999999999,0.9833333333333333,6.833333333333333,1.0833333333333333,3.75,1.275,0.5499999999999999,0.24166666666666667,630.6666666666666,0.3333333333333333,0.041666666666666664,0.03333333333333333,0.0,144541.91666666666,69.85833333333333,16.183333333333334,6.448333333333333,0.16666666666666666,0.7833333333333333,1.0166666666666666,179.66666666666666,0.85,0.75,75.0,1.5833333333333333,0
Wolfsburg,24.4,1.8,0.78,0.63,0.06,0.3,81.97999999999999,0.72,0.64,1.0799999999999998,0.99,14.2,2.3,4.0,0.8299999999999998,0.78,0.14,1262.1,0.9,0.14,0.01,0.0,110633.8,81.97999999999999,29.669999999999998,6.630000000000001,0.0,0.89,1.12,182.9,1.8599999999999999,0.8799999999999999,75.9,2.7,0
