team_name,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel,labeled_league
Angers,26.666666666666668,1.2222222222222223,0.6000000000000001,0.7555555555555555,0.03333333333333334,0.16666666666666666,72.25555555555555,1.4222222222222223,0.6666666666666666,0.9777777777777779,1.0666666666666667,12.777777777777779,1.7777777777777777,5.333333333333333,0.48888888888888893,0.6000000000000001,0.23333333333333334,1109.7777777777778,0.2222222222222222,0.20000000000000004,0.022222222222222223,0.0,128920.88888888889,72.25555555555555,17.11111111111111,6.47111111111111,0.2222222222222222,1.1555555555555554,1.0333333333333337,181.88888888888889,0.2111111111111111,1.8333333333333333,74.44444444444444,2.3333333333333335,1
Bordeaux,22.125,2.0,0.6125,1.375,0.0,0.41250000000000003,66.3875,1.3375000000000001,0.5,0.8374999999999999,0.8999999999999999,10.625,3.5,7.875,0.6125,0.6125,0.28750000000000003,1012.125,0.625,0.4625000000000001,0.0,0.0,140792.25,66.3875,15.1375,6.595,0.25,1.2750000000000001,0.6375000000000001,180.25,0.3,1.3499999999999999,75.5,2.375,1
Caen,25.0,1.2857142857142858,0.6714285714285715,1.4857142857142855,0.014285714285714287,0.2571428571428572,66.91428571428573,0.9857142857142858,0.4857142857142857,0.9285714285714286,1.2285714285714284,13.428571428571429,3.5714285714285716,6.0,0.5857142857142857,0.6714285714285715,0.34285714285714286,1231.0,1.2857142857142858,0.3428571428571429,0.0,0.14285714285714285,96894.85714285714,66.91428571428573,15.028571428571425,6.617142857142857,0.0,1.5142857142857142,0.8857142857142859,178.42857142857142,0.5428571428571429,1.3857142857142857,74.28571428571429,1.5714285714285714,1
GFC Ajaccio,27.857142857142858,1.0,0.6857142857142857,1.4999999999999998,0.028571428571428574,0.2857142857142857,73.61428571428573,1.2857142857142858,0.6,0.7571428571428571,0.9999999999999999,15.714285714285714,4.285714285714286,8.0,0.34285714285714286,0.6857142857142857,0.21428571428571427,1430.0,1.0,0.3428571428571429,0.0,0.0,140874.57142857142,73.61428571428573,19.17142857142857,6.484285714285714,0.0,1.3571428571428572,0.7000000000000001,182.71428571428572,0.45714285714285713,1.6428571428571428,74.85714285714286,1.8571428571428572,1
Guingamp,26.0,2.0,0.7666666666666667,1.2000000000000002,0.011111111111111112,0.2222222222222222,67.73333333333333,1.0555555555555556,0.4666666666666667,1.1666666666666667,0.8666666666666666,12.666666666666666,3.0,6.777777777777778,0.5888888888888889,0.7666666666666667,0.6222222222222222,1108.4444444444443,1.0,0.24444444444444446,0.0,0.0,81124.11111111111,67.73333333333333,13.322222222222223,6.612222222222223,0.3333333333333333,1.1666666666666667,0.911111111111111,177.11111111111111,0.4666666666666667,1.2555555555555555,72.22222222222223,2.3333333333333335,1
Lille,23.363636363636363,1.1818181818181819,0.6545454545454545,1.4000000000000001,0.03636363636363637,0.4,73.11818181818181,1.6090909090909093,0.4272727272727273,1.1272727272727272,1.3818181818181818,10.0,2.3636363636363638,4.818181818181818,0.5181818181818181,0.6545454545454545,0.36363636363636365,897.7272727272727,0.9090909090909091,0.27272727272727276,0.009090909090909092,0.0,119756.90909090909,73.11818181818181,19.954545454545453,6.652727272727272,0.18181818181818182,1.6727272727272726,0.8818181818181817,179.27272727272728,0.4454545454545455,1.8272727272727272,72.9090909090909,2.727272727272727,1
Lorient,23.833333333333332,1.8333333333333333,0.8333333333333334,0.8166666666666668,0.35000000000000003,0.4666666666666666,74.51666666666667,1.3333333333333333,0.4833333333333334,0.9666666666666667,0.9333333333333332,12.0,3.3333333333333335,4.5,1.3166666666666667,0.8333333333333334,0.38333333333333336,1091.6666666666667,0.3333333333333333,0.3,0.0,0.0,154382.83333333334,74.51666666666667,29.349999999999998,6.763333333333333,0.16666666666666666,1.1166666666666665,0.7333333333333334,145.0,1.2166666666666666,1.45,58.0,1.5,1
Lyon,22.333333333333332,2.0,0.75,0.6333333333333333,0.0,0.11666666666666665,78.63333333333333,1.2166666666666668,0.5833333333333334,0.6833333333333335,0.6166666666666667,8.833333333333334,4.5,8.0,0.31666666666666665,0.75,0.3,842.1666666666666,1.5,0.26666666666666666,0.0,0.0,132065.5,78.63333333333333,15.933333333333335,6.668333333333334,0.16666666666666666,1.6000000000000003,0.5499999999999999,174.5,0.6666666666666666,1.2333333333333334,66.66666666666667,1.5,1
Marseille,22.77777777777778,2.2222222222222223,0.688888888888889,0.7777777777777778,0.06666666666666667,0.23333333333333334,66.0,1.3,0.4666666666666667,0.8444444444444446,0.9777777777777776,11.88888888888889,3.888888888888889,5.888888888888889,0.39999999999999997,0.688888888888889,0.4222222222222223,1090.3333333333333,0.5555555555555556,0.30000000000000004,0.0,0.0,131724.55555555556,66.0,15.822222222222223,6.606666666666667,0.3333333333333333,1.4666666666666666,0.6666666666666666,179.11111111111111,0.4222222222222222,1.6444444444444446,72.77777777777777,1.2222222222222223,1
Monaco,22.466666666666665,1.4,0.6466666666666666,0.8266666666666667,0.04666666666666666,0.38666666666666666,77.45333333333333,1.4133333333333333,0.43333333333333335,1.0533333333333335,0.8200000000000002,9.066666666666666,2.0,5.6,0.5800000000000001,0.6466666666666666,0.33999999999999997,827.7333333333333,0.8666666666666667,0.24666666666666667,0.006666666666666667,0.06666666666666667,144226.86666666667,77.45333333333333,17.4,6.579333333333334,0.13333333333333333,1.0333333333333334,0.8200000000000001,155.6,0.5666666666666667,1.5266666666666668,63.13333333333333,1.6666666666666667,1
