team_name,Unnamed: 0,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel,labeled_league
Angers,700.4444444444445,28.555555555555557,0.4444444444444444,0.35555555555555557,1.0666666666666669,0.35555555555555557,2.322222222222222,77.68888888888888,0.3666666666666667,0.6777777777777779,0.8666666666666667,0.8888888888888888,21.333333333333332,0.8888888888888888,1.8888888888888888,1.7666666666666666,0.35555555555555557,0.18888888888888888,1919.111111111111,0.3333333333333333,0.03333333333333334,0.23333333333333334,0.1111111111111111,141114.77777777778,77.68888888888888,31.166666666666668,6.7333333333333325,0.1111111111111111,0.3,1.8555555555555554,182.44444444444446,1.9222222222222218,0.4666666666666667,75.22222222222223,4.111111111111111,1.0
Bordeaux,1027.1666666666667,24.666666666666668,0.25,0.2750000000000001,1.4833333333333336,0.2833333333333334,3.016666666666667,79.55,0.5416666666666666,0.6416666666666666,0.625,0.9250000000000002,14.25,0.6666666666666666,1.3333333333333333,2.308333333333333,0.2750000000000001,0.2916666666666667,1263.0,0.5,0.06666666666666667,0.31666666666666665,0.16666666666666666,128939.16666666667,79.55,31.208333333333332,6.771666666666668,0.3333333333333333,0.4083333333333334,2.1166666666666667,183.08333333333334,1.9833333333333332,0.7083333333333334,75.5,3.1666666666666665,1.0
Caen,818.4,27.4,0.4,0.37,1.7200000000000002,0.3,2.5,72.77000000000001,0.47000000000000003,0.74,0.73,1.07,18.7,0.9,2.8,2.2,0.37,0.31,1678.4,0.6,0.06,0.2,0.1,65858.5,72.77000000000001,26.97,6.843999999999999,0.4,0.35000000000000003,2.44,181.5,1.97,0.55,74.8,2.4,1.0
GFC Ajaccio,499.0,28.333333333333332,1.5555555555555556,0.5555555555555556,1.6000000000000003,0.2555555555555556,2.377777777777778,75.04444444444445,0.6000000000000001,0.9333333333333333,0.7777777777777778,1.2333333333333334,23.666666666666668,0.6666666666666666,3.5555555555555554,2.7222222222222223,0.5555555555555556,0.4666666666666667,2123.222222222222,0.6666666666666666,0.022222222222222223,0.47777777777777786,0.4444444444444444,100959.77777777778,75.04444444444445,33.32222222222222,6.8133333333333335,0.5555555555555556,0.4888888888888888,2.111111111111111,185.33333333333334,2.7,0.6222222222222222,77.33333333333333,6.555555555555555,1.0
Guingamp,674.1666666666666,29.75,0.75,0.3,1.5083333333333335,0.4166666666666666,2.966666666666667,74.52500000000002,0.26666666666666666,0.5916666666666667,0.9500000000000001,0.9333333333333335,15.833333333333334,0.4166666666666667,1.9166666666666667,2.2999999999999994,0.3,0.16666666666666666,1416.3333333333333,0.08333333333333333,0.03333333333333333,0.37499999999999994,0.3333333333333333,67170.75,74.52500000000002,30.98333333333333,6.7366666666666655,0.08333333333333333,0.2416666666666667,2.0749999999999997,180.58333333333334,2.891666666666667,0.35000000000000003,73.75,3.5833333333333335,1.0
Lille,905.4444444444445,28.333333333333332,0.6666666666666666,0.3666666666666667,2.0444444444444443,0.32222222222222224,2.5111111111111115,80.17777777777778,0.6444444444444445,0.5222222222222221,1.0444444444444443,1.1,21.333333333333332,1.0,1.8888888888888888,2.0222222222222226,0.3666666666666667,0.18888888888888888,1877.888888888889,1.3333333333333333,0.07777777777777778,0.23333333333333334,0.0,44642.88888888889,80.17777777777778,34.266666666666666,6.977777777777778,0.3333333333333333,0.6666666666666666,1.6777777777777778,182.77777777777777,1.5999999999999999,0.6444444444444444,79.44444444444444,3.2222222222222223,1.0
Lorient,939.3571428571429,25.642857142857142,0.6428571428571429,0.34285714285714286,1.5285714285714287,0.47857142857142854,2.9571428571428564,82.59285714285714,0.6142857142857142,1.0285714285714287,0.7928571428571428,0.8428571428571429,14.785714285714286,0.5714285714285714,2.9285714285714284,2.6999999999999997,0.34285714285714286,0.15714285714285717,1313.642857142857,0.5,0.014285714285714287,0.45000000000000007,0.0,92903.78571428571,82.59285714285714,34.23571428571429,6.899285714285716,0.35714285714285715,0.33571428571428574,1.5714285714285714,181.28571428571428,2.3642857142857143,0.6500000000000001,75.85714285714286,2.357142857142857,1.0
Lyon,762.6153846153846,27.307692307692307,1.1538461538461537,0.48461538461538467,1.8923076923076922,0.2307692307692308,2.146153846153846,86.8076923076923,0.6076923076923078,0.7153846153846154,0.8692307692307693,1.0153846153846156,17.615384615384617,0.9230769230769231,2.4615384615384617,1.6999999999999997,0.48461538461538467,0.14615384615384613,1552.8461538461538,0.5384615384615384,0.06923076923076922,0.5923076923076922,0.23076923076923078,49961.692307692305,86.8076923076923,49.73846153846153,6.899230769230769,0.07692307692307693,0.6846153846153846,1.8307692307692305,180.30769230769232,3.392307692307693,0.5615384615384615,76.0,2.769230769230769,1.0
Marseille,972.25,25.0,0.4166666666666667,0.4666666666666666,1.3583333333333334,0.2333333333333333,1.8083333333333338,84.325,0.5666666666666667,0.6333333333333333,0.8500000000000001,0.975,16.416666666666668,0.5,3.3333333333333335,2.058333333333333,0.4666666666666666,0.31666666666666665,1472.3333333333333,0.5,0.041666666666666664,0.3,0.25,83529.83333333333,84.325,40.824999999999996,6.793333333333333,0.3333333333333333,0.43333333333333335,1.7833333333333332,181.75,1.9000000000000001,0.49166666666666664,77.0,3.25,1.0
Monaco,727.2727272727273,26.09090909090909,1.0,0.5181818181818182,1.9000000000000001,0.30909090909090914,3.227272727272727,79.99090909090908,0.509090909090909,0.7727272727272729,0.9181818181818181,1.2090909090909092,18.727272727272727,1.7272727272727273,1.2727272727272727,2.2727272727272725,0.5181818181818182,0.4454545454545454,1667.3636363636363,0.7272727272727273,0.09090909090909091,0.3909090909090909,0.0,86812.09090909091,79.99090909090908,36.800000000000004,7.066363636363636,0.18181818181818182,0.5909090909090909,2.0,184.36363636363637,2.109090909090909,0.6454545454545454,76.36363636363636,4.545454545454546,1.0
Montpellier,787.7777777777778,25.333333333333332,0.7777777777777778,0.34444444444444444,1.6111111111111112,0.2777777777777778,2.1,80.0,0.5777777777777778,0.7222222222222221,0.9777777777777776,0.9222222222222223,23.0,1.6666666666666667,3.111111111111111,2.3111111111111113,0.34444444444444444,0.13333333333333336,2036.5555555555557,0.8888888888888888,0.022222222222222223,0.3777777777777779,0.0,149118.88888888888,80.0,32.58888888888889,6.914444444444445,0.2222222222222222,0.5,1.7111111111111112,182.11111111111111,2.6222222222222222,0.6888888888888888,75.55555555555556,3.7777777777777777,1.0
Nantes,845.1538461538462,26.0,0.38461538461538464,0.46153846153846156,1.6615384615384616,0.3384615384615384,2.576923076923077,78.73076923076923,0.6307692307692307,0.7846153846153847,0.7923076923076923,0.9923076923076922,15.76923076923077,0.3076923076923077,1.3846153846153846,1.953846153846154,0.46153846153846156,0.4461538461538461,1412.8461538461538,0.6923076923076923,0.05384615384615384,0.2923076923076924,0.15384615384615385,112938.38461538461,78.73076923076923,37.00769230769231,6.823076923076922,0.07692307692307693,0.3923076923076923,1.9846153846153844,181.69230769230768,2.9384615384615382,0.6076923076923078,73.92307692307692,3.4615384615384617,1.0
