team_name,Unnamed: 0,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel,labeled_league
Augsburg,95.0909090909091,27.181818181818183,0.45454545454545453,0.33636363636363636,1.6545454545454545,0.5545454545454547,3.472727272727272,78.11818181818181,0.32727272727272727,0.6272727272727273,0.7545454545454546,1.1454545454545455,15.727272727272727,1.0,2.8181818181818183,1.9181818181818182,0.33636363636363636,0.23636363636363636,1411.2727272727273,0.36363636363636365,0.0,0.2818181818181818,0.09090909090909091,62662.454545454544,78.11818181818181,31.927272727272733,6.738181818181818,0.09090909090909091,0.49090909090909085,1.4727272727272727,182.45454545454547,2.7727272727272725,0.5272727272727274,79.0,3.909090909090909,0.0
Bayer Leverkusen,318.7,24.7,0.3,0.38,2.6300000000000003,0.35,2.8,73.61999999999999,0.45000000000000007,0.96,0.8699999999999999,1.1300000000000001,15.8,0.2,2.8,2.39,0.38,0.15000000000000002,1404.4,0.3,0.04,0.26000000000000006,0.0,77277.4,73.61999999999999,36.4,6.883,0.4,0.51,1.9400000000000002,185.0,2.4699999999999998,0.67,83.8,3.6,0.0
Bayern Munich,482.09090909090907,27.272727272727273,1.1818181818181819,0.5272727272727272,1.7,0.2,1.5363636363636362,90.89090909090909,0.16363636363636364,0.2818181818181818,0.5636363636363636,0.7181818181818183,13.181818181818182,0.36363636363636365,3.1818181818181817,1.3818181818181818,0.5272727272727272,0.13636363636363638,1196.0,0.2727272727272727,0.018181818181818184,0.4818181818181818,0.0,51565.454545454544,90.89090909090909,60.81818181818183,6.864545454545455,0.09090909090909091,0.4636363636363637,0.8727272727272729,182.1818181818182,2.6999999999999997,0.33636363636363636,78.27272727272727,2.272727272727273,0.0
Borussia Dortmund,451.1,26.3,1.4,0.55,2.1599999999999997,0.22000000000000003,2.07,85.61999999999999,0.42000000000000004,0.6700000000000002,0.93,0.9400000000000001,16.9,0.7,3.0,1.92,0.55,0.19,1520.9,0.6,0.01,0.4600000000000001,0.1,58015.0,85.61999999999999,59.7,7.0139999999999985,0.0,0.53,1.5299999999999998,185.3,2.22,0.55,79.1,2.1,0.0
Borussia M.Gladbach,369.9166666666667,26.333333333333332,0.9166666666666666,0.3166666666666667,2.041666666666667,0.2833333333333333,2.025,81.64166666666667,0.2416666666666667,0.4416666666666667,0.6833333333333332,0.6250000000000001,14.0,1.4166666666666667,2.4166666666666665,1.5083333333333335,0.3166666666666667,0.06666666666666667,1267.0,0.08333333333333333,0.07500000000000001,0.3916666666666666,0.25,66183.41666666667,81.64166666666667,40.05833333333334,6.670000000000001,0.0,0.35000000000000003,1.25,184.83333333333334,1.8833333333333335,0.4166666666666667,78.58333333333333,1.75,0.0
Darmstadt,233.54545454545453,28.181818181818183,1.2727272727272727,0.3363636363636364,1.518181818181818,0.34545454545454546,2.6363636363636362,58.17272727272727,0.2545454545454545,0.7636363636363637,0.9363636363636363,1.0,18.272727272727273,1.1818181818181819,2.272727272727273,2.1454545454545455,0.3363636363636364,0.1818181818181818,1619.6363636363637,0.6363636363636364,0.045454545454545456,0.31818181818181823,0.2727272727272727,80936.27272727272,58.17272727272727,14.67272727272727,6.682727272727272,0.0,0.4,1.6545454545454548,183.63636363636363,1.4090909090909092,0.4636363636363637,80.18181818181819,4.454545454545454,0.0
Eintracht Frankfurt,177.3846153846154,26.0,0.5384615384615384,0.3307692307692308,1.323076923076923,0.3076923076923077,2.069230769230769,74.22307692307693,0.38461538461538464,0.6230769230769231,0.9846153846153847,0.7846153846153847,13.846153846153847,0.38461538461538464,3.076923076923077,1.776923076923077,0.3307692307692308,0.2076923076923077,1259.8461538461538,0.23076923076923078,0.061538461538461535,0.5,0.0,83189.30769230769,74.22307692307693,27.0,6.527692307692307,0.15384615384615385,0.2923076923076923,1.2461538461538462,183.23076923076923,1.3076923076923077,0.3692307692307692,79.23076923076923,4.0,0.0
FC Cologne,341.72727272727275,25.545454545454547,1.4545454545454546,0.5545454545454546,1.6454545454545455,0.4090909090909091,2.5,72.16363636363636,0.3272727272727272,0.6727272727272727,0.6909090909090909,0.7636363636363637,17.454545454545453,0.7272727272727273,2.6363636363636362,1.5909090909090908,0.5545454545454546,0.38181818181818183,1555.4545454545455,1.1818181818181819,0.03636363636363637,0.15454545454545454,0.0,94204.45454545454,72.16363636363636,30.654545454545453,6.77909090909091,0.0,0.609090909090909,1.6181818181818182,186.0,2.109090909090909,0.6727272727272727,78.45454545454545,2.727272727272727,0.0
Hamburger SV,260.25,27.0,0.5,0.3375,1.9625,0.3375,2.575,77.775,0.38750000000000007,0.6,0.7875,0.9500000000000001,19.0,0.375,3.625,2.0875,0.3375,0.1625,1729.25,0.375,0.025,0.4,0.0,85914.125,77.775,35.3875,6.725,0.25,0.47500000000000003,1.625,182.125,2.7624999999999997,0.5875000000000001,77.375,3.5,0.0
Hannover 96,420.92857142857144,25.571428571428573,0.2857142857142857,0.4071428571428571,2.3642857142857143,0.4,2.5785714285714287,74.07857142857144,0.4285714285714285,0.9428571428571428,0.8785714285714287,1.2785714285714285,14.071428571428571,0.5,1.5714285714285714,1.914285714285714,0.4071428571428571,0.20714285714285716,1238.7142857142858,0.2857142857142857,0.014285714285714287,0.39285714285714285,0.07142857142857142,95084.28571428571,74.07857142857144,32.66428571428571,6.667857142857144,0.0,0.5857142857142856,1.9428571428571428,186.14285714285714,1.6785714285714286,0.65,74.07142857142857,3.0714285714285716,0.0
