team_name,Unnamed: 0,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel,labeled_league
Arsenal,1736.0,26.333333333333332,1.0,0.32222222222222224,1.7555555555555558,0.36666666666666664,2.8222222222222224,84.76666666666667,0.5555555555555555,0.5,0.5666666666666667,0.6555555555555554,18.11111111111111,0.7777777777777778,3.111111111111111,1.9444444444444444,0.32222222222222224,0.13333333333333333,1642.2222222222222,0.5555555555555556,0.022222222222222223,0.41111111111111115,0.1111111111111111,61097.555555555555,84.76666666666667,43.222222222222214,6.941111111111112,0.2222222222222222,0.47777777777777775,1.6777777777777776,182.44444444444446,1.2555555555555555,0.5111111111111111,73.88888888888889,1.8888888888888888,3.0
Aston Villa,2121.3636363636365,27.272727272727273,0.6363636363636364,0.4454545454545454,1.3909090909090909,0.39999999999999997,3.5727272727272723,79.34545454545456,0.38181818181818183,0.7272727272727272,0.6636363636363637,0.9909090909090907,18.272727272727273,0.5454545454545454,1.2727272727272727,2.1363636363636367,0.4454545454545454,0.3909090909090909,1629.0,0.6363636363636364,0.018181818181818184,0.4454545454545455,0.2727272727272727,50556.181818181816,79.34545454545456,32.66363636363636,6.677272727272728,0.18181818181818182,0.48181818181818187,1.7454545454545454,181.9090909090909,2.5272727272727273,0.6181818181818183,75.54545454545455,3.727272727272727,3.0
Bournemouth,1864.375,28.0,1.25,0.39999999999999997,1.6999999999999997,0.30000000000000004,3.3000000000000007,83.5375,0.4375,0.575,0.475,0.525,19.875,1.25,3.0,1.8250000000000002,0.39999999999999997,0.25,1823.125,0.875,0.0875,0.3625,0.0,49193.5,83.5375,34.574999999999996,6.6975,0.125,0.35000000000000003,1.3875000000000002,182.25,2.2875,0.4,77.125,2.5,3.0
Crystal Palace,1940.375,29.5,0.75,0.3,2.4000000000000004,0.6625,4.525,75.125,0.4375,0.6625,0.6125,1.0125,21.0,1.125,1.625,2.0625,0.3,0.21250000000000002,1899.75,0.5,0.0625,0.275,0.375,27381.125,75.125,33.262499999999996,6.81625,0.125,0.4625,1.5125000000000002,186.5,2.3249999999999997,0.38749999999999996,79.375,3.75,3.0
Everton,1645.1538461538462,24.76923076923077,0.5384615384615384,0.33076923076923076,0.9000000000000001,0.5461538461538461,3.376923076923077,83.57692307692307,0.5461538461538461,0.8,0.5692307692307693,0.4230769230769231,12.23076923076923,0.5384615384615384,1.6923076923076923,1.5384615384615385,0.33076923076923076,0.24615384615384617,1092.923076923077,0.38461538461538464,0.05384615384615384,0.23846153846153847,0.07692307692307693,108815.38461538461,83.57692307692307,31.769230769230766,6.806923076923076,0.07692307692307693,0.5461538461538462,1.630769230769231,166.23076923076923,2.4076923076923076,0.37692307692307686,68.84615384615384,1.2307692307692308,3.0
Leicester,1840.4545454545455,29.0,1.5454545454545454,0.4818181818181818,1.5454545454545454,0.6090909090909091,2.9818181818181815,70.11818181818182,0.4272727272727273,0.8272727272727273,0.4454545454545454,0.9,20.727272727272727,0.9090909090909091,2.5454545454545454,2.3272727272727276,0.4818181818181818,0.21818181818181817,1868.7272727272727,1.0,0.009090909090909092,0.26363636363636367,0.0,38263.90909090909,70.11818181818182,26.4,6.98,0.18181818181818182,0.5454545454545454,2.1363636363636362,181.8181818181818,1.6818181818181819,0.47272727272727283,78.27272727272727,2.909090909090909,3.0
Liverpool,1705.3846153846155,25.0,0.5384615384615384,0.5461538461538461,1.5230769230769228,0.40769230769230763,2.93076923076923,78.5153846153846,0.6846153846153847,0.7461538461538463,0.5461538461538462,0.9769230769230769,15.23076923076923,0.46153846153846156,2.0,1.5769230769230769,0.5461538461538461,0.2153846153846154,1367.1538461538462,0.46153846153846156,0.03076923076923077,0.22307692307692312,0.07692307692307693,88659.0,78.5153846153846,41.61538461538461,6.759999999999999,0.07692307692307693,0.5230769230769231,1.9846153846153847,182.84615384615384,2.123076923076923,0.5538461538461539,76.0,3.076923076923077,3.0
Manchester City,2001.5,30.1,1.0,0.52,1.9,0.26,3.59,84.50000000000001,0.42000000000000004,1.0699999999999998,0.61,1.0299999999999998,20.0,1.0,2.8,2.22,0.52,0.27999999999999997,1820.3,0.8,0.030000000000000006,0.4000000000000001,0.1,26362.0,84.50000000000001,46.39999999999999,7.088000000000001,0.0,0.56,2.08,181.9,2.1799999999999997,0.47000000000000003,75.7,4.7,3.0
Manchester United,2057.9333333333334,24.666666666666668,0.7333333333333333,0.38,1.1866666666666665,0.21333333333333337,2.033333333333333,81.13333333333334,0.5066666666666666,0.8066666666666668,0.5533333333333333,0.9600000000000002,13.333333333333334,0.26666666666666666,3.2666666666666666,1.6333333333333333,0.38,0.3533333333333334,1210.4,0.4666666666666667,0.04,0.16666666666666666,0.06666666666666667,109017.4,81.13333333333334,38.83333333333333,6.845333333333333,0.0,0.28,2.02,158.4,2.2,0.5733333333333334,64.46666666666667,2.466666666666667,3.0
Newcastle United,2091.6363636363635,24.90909090909091,0.7272727272727273,0.29090909090909095,1.0909090909090908,0.5181818181818182,2.8181818181818183,70.21818181818182,0.34545454545454546,0.7363636363636363,0.5454545454545454,0.7545454545454544,17.545454545454547,0.7272727272727273,1.5454545454545454,1.8000000000000005,0.29090909090909095,0.24545454545454548,1549.1818181818182,0.36363636363636365,0.045454545454545456,0.3,0.18181818181818182,89460.81818181818,70.21818181818182,28.545454545454547,6.669090909090911,0.2727272727272727,0.3090909090909091,1.8727272727272728,181.72727272727272,1.9181818181818182,0.4363636363636363,75.0,3.1818181818181817,3.0
Norwich,1757.111111111111,27.333333333333332,0.4444444444444444,0.36666666666666664,1.6777777777777778,0.4555555555555556,5.1,72.19999999999999,0.43333333333333335,0.7,0.4888888888888888,0.7888888888888889,18.88888888888889,1.1111111111111112,1.3333333333333333,1.4777777777777776,0.36666666666666664,0.4444444444444444,1692.4444444444443,0.8888888888888888,0.05555555555555555,0.4666666666666668,0.2222222222222222,48509.88888888889,72.19999999999999,29.65555555555555,6.706666666666666,0.2222222222222222,0.5444444444444444,1.4999999999999998,183.55555555555554,2.266666666666667,0.5666666666666668,77.11111111111111,2.7777777777777777,3.0
Southampton,1674.75,24.666666666666668,0.75,0.43333333333333335,1.4666666666666668,0.37500000000000006,3.0500000000000003,78.82499999999999,0.4666666666666666,0.6833333333333332,0.525,0.6916666666666668,18.916666666666668,0.8333333333333334,2.8333333333333335,1.8833333333333337,0.43333333333333335,0.35000000000000003,1672.5,0.9166666666666666,0.03333333333333333,0.16666666666666666,0.0,74272.41666666667,78.82499999999999,30.933333333333334,6.8675,0.3333333333333333,0.5,1.7833333333333332,183.33333333333334,2.2416666666666667,0.65,76.91666666666667,2.75,3.0
Stoke,1786.6666666666667,27.166666666666668,0.5,0.3833333333333333,1.3833333333333335,0.6166666666666666,2.808333333333333,76.05833333333332,0.4666666666666666,0.8500000000000001,0.6666666666666666,0.7833333333333333,18.166666666666668,0.16666666666666666,1.8333333333333333,1.5999999999999999,0.3833333333333333,0.13333333333333336,1620.5833333333333,0.6666666666666666,0.03333333333333333,0.2083333333333333,0.0,45837.25,76.05833333333332,34.68333333333333,6.7508333333333335,0.16666666666666666,0.425,1.9583333333333333,185.83333333333334,1.7083333333333333,0.6166666666666666,78.75,2.3333333333333335,3.0
Sunderland,1971.3636363636363,27.09090909090909,0.7272727272727273,0.3,1.8727272727272726,0.4272727272727272,5.263636363636365,72.11818181818181,0.4636363636363636,0.8454545454545453,0.5545454545454546,0.6909090909090909,15.636363636363637,0.6363636363636364,1.1818181818181819,1.5272727272727273,0.3,0.19090909090909092,1375.1818181818182,0.45454545454545453,0.02727272727272728,0.3090909090909091,0.09090909090909091,66761.54545454546,72.11818181818181,26.927272727272722,6.899090909090908,0.09090909090909091,0.41818181818181815,2.3000000000000003,184.0,1.6727272727272726,0.5363636363636363,77.72727272727273,2.0,3.0
