team_name,age,asists,avgp,aw,blocks,clear,crosses,disp,drb,fouled,fouls,full_time,goals,half_time,inter,keyp,longb,mins,motm,off,offsides,owng,player_number,ps_x,ps_y,rating,red,spg,tackles,tall,thrb,unstch,weight,yel,labeled_league
Arsenal,27.4,3.2,1.23,0.55,0.2,0.7100000000000001,85.17,1.22,0.9800000000000001,1.0100000000000002,0.79,16.5,3.0,5.0,1.2500000000000002,1.23,0.51,1475.1,1.7,0.17,0.01,0.1,28847.2,85.17,42.0,7.019,0.2,1.25,1.5,176.4,1.47,1.1700000000000002,69.1,2.0,3
Aston Villa,24.666666666666668,1.1666666666666667,0.5333333333333333,0.8666666666666666,0.13333333333333333,1.4666666666666668,83.41666666666667,0.44999999999999996,0.85,0.7166666666666667,0.8833333333333333,12.833333333333334,0.0,2.1666666666666665,1.7833333333333332,0.5333333333333333,0.26666666666666666,1130.1666666666667,0.5,0.0,0.0,0.0,139098.33333333334,83.41666666666667,29.71666666666667,6.593333333333333,0.0,0.5,1.9333333333333333,146.33333333333334,1.866666666666667,0.9833333333333333,59.166666666666664,2.8333333333333335,3
Bournemouth,27.4,1.2,0.76,0.6199999999999999,0.16,0.6199999999999999,83.52000000000001,0.86,1.1800000000000002,0.8800000000000001,0.7,19.6,1.0,2.4,1.3599999999999999,0.76,0.19999999999999998,1693.4,0.2,0.04,0.0,0.0,28558.2,83.52000000000001,34.18000000000001,6.616,0.0,0.9200000000000002,1.54,178.6,2.3,1.1,72.4,3.6,3
Crystal Palace,26.375,0.875,0.925,0.3875,0.17500000000000002,0.46249999999999997,82.9,0.9750000000000001,0.9625,0.5249999999999999,1.0499999999999998,14.375,1.625,3.875,1.2249999999999999,0.925,0.6375000000000001,1253.375,0.75,0.07500000000000001,0.025,0.0,65870.375,82.9,23.0875,6.60625,0.0,1.3499999999999999,1.475,176.375,1.2,0.8875,71.5,2.125,3
Everton,27.0,1.6363636363636365,0.6454545454545455,0.5090909090909091,0.16363636363636364,0.890909090909091,82.81818181818181,0.8272727272727273,0.9181818181818181,0.7818181818181817,0.6909090909090909,13.363636363636363,1.9090909090909092,4.2727272727272725,0.8818181818181817,0.6454545454545455,0.2545454545454545,1205.6363636363637,0.5454545454545454,0.03636363636363637,0.06363636363636363,0.0,64269.181818181816,82.81818181818181,30.063636363636363,6.662727272727273,0.36363636363636365,0.8,1.090909090909091,161.72727272727272,1.918181818181818,0.9181818181818183,59.09090909090909,1.7272727272727273,3
Leicester,25.0,2.3333333333333335,0.7000000000000001,0.26666666666666666,0.0,0.3,72.5,0.5333333333333333,0.6333333333333333,0.5,0.4333333333333333,11.666666666666666,1.0,6.666666666666667,0.6000000000000001,0.7000000000000001,0.5333333333333333,1028.0,0.0,0.03333333333333333,0.06666666666666667,0.0,99837.66666666667,72.5,14.166666666666666,6.5,0.0,0.5666666666666668,0.7333333333333333,174.0,0.7666666666666667,0.7999999999999999,67.66666666666667,1.6666666666666667,3
Liverpool,23.333333333333332,3.0,0.9999999999999998,0.41111111111111115,0.1111111111111111,0.7666666666666667,81.32222222222224,1.3222222222222222,1.088888888888889,0.7555555555555554,0.6222222222222222,11.88888888888889,3.0,2.888888888888889,0.9888888888888889,0.9999999999999998,0.4555555555555555,1018.6666666666666,1.4444444444444444,0.1111111111111111,0.022222222222222223,0.0,106863.11111111111,81.32222222222224,38.12222222222223,6.745555555555557,0.2222222222222222,1.2000000000000002,1.6999999999999997,176.0,1.9222222222222223,1.0111111111111113,69.33333333333333,1.5555555555555556,3
Manchester City,25.375,3.25,1.0875,0.25,0.025,0.25,91.9375,1.0250000000000001,0.725,0.6,0.35000000000000003,10.75,1.5,4.5,0.575,1.0875,0.6499999999999999,967.25,0.625,0.037500000000000006,0.0,0.0,101377.375,91.9375,31.075000000000003,6.7124999999999995,0.0,0.8125,0.8875000000000001,174.375,1.1624999999999999,0.575,66.875,1.0,3
Manchester United,25.0,0.4,0.52,0.78,0.1,0.54,67.8,1.06,0.76,0.54,0.8800000000000001,8.4,1.0,5.2,0.6199999999999999,0.52,0.26,778.8,0.4,0.04,0.0,0.0,128823.8,67.8,29.0,6.51,0.0,0.58,1.16,182.6,1.2200000000000002,0.86,74.2,2.2,3
Newcastle United,25.875,2.125,0.7374999999999999,0.7875,0.1375,0.8125000000000001,81.0375,0.875,0.7,0.5625,0.7625000000000002,13.75,1.625,3.375,1.0875,0.7374999999999999,0.375,1212.0,0.75,0.09999999999999999,0.025,0.0,54316.5,81.0375,27.3,6.615,0.0,0.65,1.625,179.25,1.4875,0.8750000000000001,75.375,1.75,3
